wall_time,timestamp_ms,emg_raw,emg_env,rms,mdf,rms_slope,mdf_slope,fatigue_detected,is_running,is_stimulating,history_count,baseline_rms,marker
2026-05-16T21:31:32.799,363671,1877,3153,1500.992,7.8125,0,0,false,true,true,1,0,
2026-05-16T21:31:33.737,364671,1869,0,1368.83,246.0938,0,0,false,true,true,2,0,
2026-05-16T21:31:34.528,365671,1866,263,2575.094,23.4375,0,0,false,true,true,3,0,
2026-05-16T21:31:35.559,366670,1791,3056,599.1515,31.25,0,0,false,true,true,4,0,
2026-05-16T21:31:36.789,367671,1865,0,2682.357,226.5625,0,0,false,true,true,5,0,
2026-05-16T21:31:37.529,368671,1859,3021,2086.533,11.71875,0,0,false,true,true,6,0,
2026-05-16T21:31:38.634,369670,1867,0,1108.387,238.2813,0,0,false,true,true,7,0,
2026-05-16T21:31:39.554,370671,1866,0,2082.099,242.1875,0,0,false,true,true,8,0,
2026-05-16T21:31:40.561,371671,1827,3858,1368.538,7.8125,0,0,false,true,true,9,0,
2026-05-16T21:31:41.637,372671,1867,0,2388.327,214.8438,0,0,false,true,true,10,1776.031,
2026-05-16T21:31:42.626,373671,1889,2096,2096.193,15.625,0,0,false,true,true,11,1776.031,
2026-05-16T21:31:43.531,374671,1869,0,426.3869,35.15625,0,0,false,true,true,12,1776.031,
2026-05-16T21:31:44.779,375671,1866,0,2173.174,230.4688,0,0,false,true,true,13,1776.031,
2026-05-16T21:31:45.528,376671,1875,3230,1452.001,11.71875,0,0,false,true,true,14,1776.031,
2026-05-16T21:31:46.537,377671,1866,0,1432.572,250,0,0,false,true,true,15,1776.031,
2026-05-16T21:31:47.528,378671,1867,80,2051.175,85.9375,0,0,false,true,true,16,1776.031,
2026-05-16T21:31:48.653,379671,1810,2470,625.2863,23.4375,0,0,false,true,true,17,1776.031,
2026-05-16T21:31:49.543,380671,1868,0,1944.167,230.4688,0,0,false,true,true,18,1776.031,
2026-05-16T21:31:51.244,381671,1863,2779,1867.906,11.71875,0,0,false,true,true,19,1776.031,
2026-05-16T21:31:51.851,382671,1865,0,943.3902,230.4688,0,0,false,true,true,20,1776.031,
2026-05-16T21:31:53.694,383671,1863,17,2002.574,253.9063,0,0,false,true,true,21,1776.031,
2026-05-16T21:31:53.695,384671,1850,2647,1172.779,74.21875,0,0,false,true,true,22,1776.031,
2026-05-16T21:31:54.617,385671,1867,43,1623.316,242.1875,0,0,false,true,true,23,1776.031,
2026-05-16T21:31:55.646,386671,1871,1355,2149.536,74.21875,0,0,false,true,true,24,1776.031,
2026-05-16T21:31:56.761,387671,1845,1474,285.4011,74.21875,0,0,false,true,true,25,1776.031,
2026-05-16T21:31:58.297,388671,1868,41,2726.313,222.6563,0,0,false,true,true,26,1776.031,
2026-05-16T21:31:58.557,389671,1904,2911,1678.071,58.59375,0,0,false,true,true,27,1776.031,
2026-05-16T21:31:59.832,390671,1860,0,1580.817,234.375,0,0,false,true,true,28,1776.031,
2026-05-16T21:32:01.067,391671,1871,80,2277.218,230.4688,0,0,false,true,true,29,1776.031,
2026-05-16T21:32:01.644,392671,1824,3088,856.3438,39.0625,-10.91088,39.41943,false,true,true,30,1776.031,
2026-05-16T21:32:02.599,393671,1862,0,2436.037,226.5625,-1.0574,49.81089,false,true,true,31,1776.031,
2026-05-16T21:32:03.825,394671,1915,2805,1763.3,66.40625,0.101153,38.27473,false,true,true,32,1776.031,
2026-05-16T21:32:04.746,395671,1870,7,894.6306,191.4063,-8.192736,43.63086,false,true,true,33,1776.031,
2026-05-16T21:32:05.678,396671,1864,1,2622.496,246.0938,2.459369,54.4838,false,true,true,34,1776.031,
