session,date,subject,status,dur_s,n_burst,ev_per_burst,valid_A_pct,valid_B_pct,ramp_med,ramp_vs_mw_pct,mw_peak_med,n_onset
223030,20260716,subject_1780674970583,ok,247.4,153.0,11.14,99.9,99.9,272.4,59.1,427.2,
151419,20260717,subject_1780674970583,ok,130.8,81.0,13.26,99.9,99.9,-338.6,87.9,381.0,
144215,20260717,subject_1780674970583,ok,902.1,558.0,14.97,100.0,100.0,-48.2,16.3,459.5,
141940,20260717,subject_1780674970583,ok,899.7,556.0,19.77,100.0,100.0,-21.6,9.7,305.2,
152153,20260717,subject_1780674970583,ok,766.0,458.0,7.31,100.0,100.0,-213.4,50.0,427.9,
160639,20260717,subject_1780674970583,ok,738.0,457.0,12.36,100.0,100.0,127.7,43.6,348.0,
200306,20260720,subject_1780674970583,ok,779.3,482.0,3.5,100.0,100.0,-299.5,83.0,388.5,
202248,20260720,subject_1780674970583,ok,752.5,465.0,19.68,100.0,100.0,23.2,7.2,617.0,
013937,20260717,subject_1784219707826,ok,21.1,11.0,5.82,100.0,98.4,121.7,27.8,584.5,
023422,20260717,subject_1784219707826,ok,232.4,102.0,8.71,100.0,100.0,66.4,22.1,293.8,
140152,20260717,subject_1784219707826,no_onset,139.5,,,,,,,,14.0
153854,20260717,subject_1784219707826,ok,19.8,13.0,7.08,98.9,98.9,114.2,30.1,524.5,
021109,20260717,subject_1784219707826,ok,353.7,218.0,15.81,100.0,100.0,238.9,102.3,282.2,
102627,20260721,subject_1780674970583,ok,788.2,486.0,8.65,100.0,100.0,-203.2,55.1,429.6,
154641,20260717,subject_1784219707826,ok,442.6,274.0,19.95,100.0,100.0,334.3,26.2,1252.4,
190928,20260720,subject_1784219707826,ok,716.2,442.0,14.83,100.0,100.0,178.4,34.6,495.4,
033307,20260717,subject_1784225910998,ok,544.4,184.0,19.97,100.0,100.0,76.6,10.4,733.6,
212941,20260720,subject_1784219707826,ok,707.9,438.0,19.53,100.0,100.0,113.3,32.8,315.6,
135747,20260717,subject_1784225910998,ok,17.1,9.0,10.0,100.0,98.9,-56.0,33.8,382.0,
135910,20260717,subject_1784225910998,ok,16.9,10.0,6.9,100.0,100.0,-48.6,13.5,452.9,
134134,20260717,subject_1784225910998,ok,252.1,154.0,7.63,100.0,99.9,-91.3,15.1,584.5,
204055,20260720,subject_1784225910998,ok,207.2,129.0,1.26,100.0,100.0,-419.0,51.5,771.5,
042118,20260717,subject_1784225910998,ok,595.7,368.0,19.99,100.0,100.0,47.0,13.3,352.9,
205148,20260720,subject_1784225910998,ok,966.5,598.0,3.79,100.0,100.0,-343.9,75.0,622.5,
220754,20260720,subject_1784225910998,ok,769.5,476.0,18.08,100.0,100.0,-105.8,20.0,540.6,
000225,20260721,subject_1784256238303,ok,784.8,486.0,1.29,100.0,100.0,602.5,57.9,1033.9,
024558,20260721,subject_1784256238303,ok,364.6,35.0,19.31,99.9,99.9,21.4,4.7,474.2,
002130,20260721,subject_1784256238303,ok,840.0,520.0,19.31,100.0,100.0,190.0,39.6,471.2,
033348,20260721,subject_1784256238303,ok,18.5,8.0,19.88,100.0,100.0,70.2,12.8,590.1,
020310,20260721,subject_1784256238303,ok,837.1,517.0,19.51,100.0,100.0,46.5,9.9,468.8,
104116,20260721,subject_1784598047019,ok,138.8,51.0,8.12,100.0,99.8,76.9,15.7,763.5,
025259,20260721,subject_1784256238303,ok,829.8,512.0,19.33,100.0,100.0,43.9,10.0,440.5,
034035,20260721,subject_1784256238303,ok,190.9,82.0,8.94,100.0,100.0,36.8,9.0,585.8,
132830,20260721,subject_1784598047019,ok,745.4,461.0,19.19,100.0,100.0,-93.5,19.2,539.8,
104452,20260721,subject_1784598047019,ok,764.5,415.0,22.38,100.0,100.0,-159.9,33.3,426.8,
131302,20260721,subject_1784598047019,ok,788.2,487.0,17.32,100.0,100.0,-3.7,10.9,280.8,
145551,20260721,subject_1784598047019,ok,734.7,454.0,17.84,100.0,100.0,84.2,25.8,319.4,
134404,20260721,subject_1784609034497,ok,730.1,451.0,15.42,100.0,100.0,-7.0,7.8,98.0,
143707,20260721,subject_1784609034497,ok,897.7,554.0,3.83,100.0,100.0,-82.6,114.8,562.5,
153158,20260728,subject_1784609034497,ok,355.1,203.0,7.29,100.0,100.0,339.8,163.7,226.5,
180928,20260727,subject_1784609034497,ok,613.3,378.0,14.37,100.0,100.0,8.6,11.4,169.0,
010131,20260728,subject_1784609034497,ok,641.5,391.0,14.7,100.0,100.0,-5.0,11.6,403.0,
154753,20260728,subject_1784609034497,ok,610.6,376.0,15.72,100.0,100.0,538.6,37.8,1405.9,
135755,20260721,subject_1784609873531,ok,778.0,481.0,17.15,100.0,100.0,-169.3,26.4,598.0,
141422,20260721,subject_1784609873531,ok,741.8,459.0,12.19,100.0,100.0,-188.2,46.2,419.5,
151102,20260721,subject_1784609873531,ok,744.3,267.0,19.19,100.0,100.0,-39.9,18.4,353.0,
152923,20260721,subject_1784615199160,ok,605.6,374.0,19.46,100.0,100.0,66.4,11.7,571.8,
155408,20260721,subject_1784615199160,ok,604.5,371.0,19.02,100.0,100.0,180.8,21.6,737.0,
154222,20260721,subject_1784615199160,ok,613.6,379.0,16.63,100.0,100.0,-149.2,17.8,840.5,
161918,20260721,subject_1784615199160,ok,322.5,199.0,11.3,100.0,100.0,5.7,8.0,455.5,
160630,20260721,subject_1784615199160,ok,602.0,369.0,20.01,100.0,100.0,133.5,16.3,794.8,
162737,20260721,subject_1784615199160,ok,662.5,410.0,19.79,100.0,100.0,-57.0,20.0,310.1,
212205,20260727,subject_1785147752452,ok,676.5,417.0,19.56,100.0,100.0,-343.5,96.7,377.5,
214116,20260727,subject_1785147752452,ok,640.1,397.0,19.11,100.0,100.0,24.9,12.2,360.0,
232627,20260727,subject_1785147752452,ok,633.1,391.0,19.98,100.0,100.0,39.5,10.8,368.2,
133218,20260728,subject_1785147752452,ok,688.7,427.0,12.3,100.0,100.0,57.9,17.3,324.0,
144240,20260728,subject_1785147752452,ok,665.0,409.0,16.85,100.0,100.0,-143.9,30.8,475.5,
151547,20260728,subject_1785147752452,ok,680.4,419.0,19.8,100.0,100.0,223.7,72.9,294.5,
161315,20260728,subject_1785147752452,ok,654.3,400.0,20.07,100.0,100.0,-35.0,23.4,141.2,
223305,20260727,subject_1785157956456,ok,154.8,89.0,5.78,100.0,100.0,128.1,26.1,769.0,
221734,20260727,subject_1785157956456,ok,616.1,382.0,5.68,100.0,100.0,-636.1,119.2,782.6,
230517,20260727,subject_1785157956456,ok,653.3,404.0,12.44,100.0,100.0,-78.9,22.5,384.9,
151215,20260728,subject_1785157956456,ok,20.4,11.0,19.55,100.0,100.0,74.5,3.9,1925.5,
224710,20260727,subject_1785157956456,ok,948.9,587.0,6.67,100.0,100.0,1.5,14.0,32.0,
202300,20260730,subject_1785157956456,ok,16.7,10.0,6.5,100.0,100.0,42.6,18.6,659.9,
140355,20260728,subject_1785157956456,ok,760.5,471.0,18.43,100.0,100.0,35.6,3.6,1219.5,
200949,20260730,subject_1785157956456,ok,603.0,371.0,18.53,100.0,100.0,-110.9,5.7,1969.4,
135004,20260728,subject_1785214065897,ok,603.6,374.0,18.29,100.0,100.0,-32.7,11.7,250.1,
142555,20260728,subject_1785216215099,ok,608.0,376.0,16.45,100.0,100.0,127.7,24.6,694.8,
145638,20260728,subject_1785216215099,ok,621.6,382.0,19.9,100.0,100.0,-128.4,58.6,226.0,
160118,20260728,subject_1785216215099,ok,612.2,375.0,19.13,100.0,100.0,40.4,10.6,378.0,
