Time(ms),Raw_ADC,ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,Marker
0,1855.3,79.7,0.0,119.1,0.0,0.0,0.0,
100,1856.2,53.1,0.0,119.1,0.0,0.0,0.0,
200,1863.9,49.5,0.0,119.1,0.0,0.0,0.0,
300,1863.7,48.3,0.0,119.1,0.0,0.0,0.0,
400,1862.0,45.4,0.0,119.1,0.0,0.0,0.0,
500,1863.8,51.1,0.0,119.1,0.0,0.0,0.0,
600,1859.5,48.8,0.0,119.1,0.0,0.0,0.0,
700,1862.1,36.8,0.0,121.1,0.0,0.0,0.0,
800,1862.3,42.0,0.0,121.1,0.0,0.0,0.0,
900,1861.1,48.5,68.7,121.1,0.0,0.0,0.0,
1000,1861.8,44.4,58.5,121.1,0.0,0.0,0.0,
1100,1852.2,93.9,66.9,121.1,0.0,0.0,0.0,
1200,1832.2,99.4,94.2,121.1,328.0,1638.0,13.0,
1300,1839.1,93.9,110.6,224.6,313.0,1595.0,14.0,
1401,1844.9,113.0,127.1,226.6,302.0,1463.0,13.0,
1501,1835.7,112.2,141.6,257.8,350.0,1657.0,14.0,
1601,1830.4,110.9,156.3,257.8,349.0,1817.0,14.0,
1801,1861.0,37.2,160.2,238.3,349.0,1817.0,14.0,
1901,1861.8,37.6,159.9,226.6,349.0,1817.0,14.0,
2001,1859.0,37.5,159.8,121.1,349.0,1817.0,14.0,
2101,1861.1,38.6,154.3,121.1,349.0,1817.0,14.0,
2201,1856.0,34.9,138.7,119.1,349.0,1817.0,14.0,
2301,1857.9,36.8,125.8,119.1,349.0,1817.0,14.0,
2401,1860.0,38.5,108.7,121.1,349.0,1817.0,14.0,
2501,1859.8,35.1,88.2,121.1,349.0,1817.0,14.0,
2601,1857.8,37.9,57.6,121.1,349.0,1817.0,14.0,
2801,1847.8,106.4,76.1,152.3,349.0,1817.0,14.0,
2901,1852.4,101.8,88.0,228.5,349.0,1817.0,14.0,
3001,1849.9,91.7,98.9,226.6,349.0,1817.0,14.0,
3101,1864.0,71.1,105.2,224.6,349.0,1817.0,14.0,
3201,1865.9,89.2,112.0,193.4,349.0,1817.0,14.0,
3301,1859.8,46.5,115.5,162.1,349.0,1817.0,14.0,
3401,1857.5,42.0,115.5,160.2,349.0,1817.0,14.0,
3501,1859.9,36.1,115.5,121.1,349.0,1817.0,14.0,
3601,1861.0,42.2,115.8,119.1,349.0,1817.0,14.0,
3801,1859.4,40.2,98.0,119.1,349.0,1817.0,14.0,
3901,1860.2,41.0,87.6,119.1,349.0,1817.0,14.0,
4001,1860.2,36.9,74.9,121.1,349.0,1817.0,14.0,
4101,1860.4,43.5,65.4,121.1,349.0,1817.0,14.0,
4201,1860.2,38.5,53.1,119.1,349.0,1817.0,14.0,
4301,1861.2,81.7,52.0,121.1,349.0,1817.0,14.0,
4401,1858.7,79.5,63.5,121.1,349.0,1817.0,14.0,
4501,1871.8,79.6,71.4,127.0,349.0,1817.0,14.0,
4601,1861.8,85.9,77.6,128.9,349.0,1817.0,14.0,
4801,1869.3,88.3,91.0,121.1,349.0,1817.0,14.0,
4901,1871.5,51.4,94.9,121.1,349.0,1817.0,14.0,
5001,1860.6,44.6,95.1,121.1,349.0,1817.0,14.0,
5101,1859.7,39.4,95.3,121.1,349.0,1817.0,14.0,
5201,1861.7,41.3,95.4,119.1,349.0,1817.0,14.0,
5301,1858.9,41.3,91.9,119.1,349.0,1817.0,14.0,
5401,1859.7,36.4,84.5,119.1,349.0,1817.0,14.0,
5501,1859.2,35.1,78.0,119.1,349.0,1817.0,14.0,
