Time(ms),Raw_ADC,ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,MW_Valid,Marker
0,1850.7,190.7,0.0,0.0,0.0,0.0,0.0,0,
100,1874.3,213.2,0.0,0.0,0.0,0.0,0.0,0,
200,1830.9,177.8,0.0,0.0,0.0,0.0,0.0,0,
300,1858.9,31.8,0.0,0.0,0.0,0.0,0.0,0,
400,1859.9,11.8,0.0,0.0,0.0,0.0,0.0,0,
500,1861.8,11.7,0.0,70.3,0.0,0.0,0.0,0,
600,1861.5,12.1,0.0,76.2,0.0,0.0,0.0,0,
700,1861.0,11.8,0.0,78.1,0.0,0.0,0.0,0,
800,1861.6,10.9,0.0,80.1,0.0,0.0,0.0,0,
900,1859.6,10.9,163.1,125.0,0.0,0.0,0.0,0,
1000,1861.1,10.2,139.9,193.4,0.0,0.0,0.0,0,
1100,1860.5,10.7,111.4,183.6,0.0,0.0,0.0,0,
1200,1859.8,11.2,69.0,175.8,0.0,0.0,0.0,0,
1300,1856.4,114.8,40.8,50.8,0.0,0.0,0.0,0,
1400,1867.8,203.5,73.4,37.1,0.0,0.0,0.0,0,
1500,1839.0,179.0,110.3,39.1,0.0,0.0,0.0,0,
1600,1843.5,152.6,137.2,64.5,0.0,0.0,0.0,0,
1700,1850.8,157.6,159.8,64.5,0.0,0.0,0.0,0,
1900,1845.2,43.0,196.7,66.4,0.0,0.0,0.0,0,
2000,1858.8,12.0,196.7,95.7,0.0,0.0,0.0,0,
2100,1860.1,11.8,196.7,95.7,0.0,0.0,0.0,0,
2200,1859.8,10.7,196.7,93.8,0.0,0.0,0.0,0,
2300,1860.6,9.6,192.8,93.8,0.0,0.0,0.0,0,
2400,1860.8,11.7,182.9,171.9,0.0,0.0,0.0,0,
2500,1860.3,11.0,163.4,175.8,0.0,0.0,0.0,0,
2600,1860.0,9.7,141.6,154.3,0.0,0.0,0.0,0,
2700,1860.3,11.1,115.5,154.3,0.0,0.0,0.0,0,
2900,1863.8,119.7,38.9,64.5,0.0,0.0,0.0,0,
3000,1862.6,128.0,72.6,39.1,0.0,0.0,0.0,0,
3100,1868.9,183.7,102.6,37.1,0.0,0.0,0.0,0,
3200,1885.0,206.9,133.2,62.5,0.0,0.0,0.0,0,
3300,1840.2,175.9,161.1,64.5,0.0,0.0,0.0,0,
3400,1864.6,136.5,182.0,66.4,0.0,0.0,0.0,0,
3500,1864.7,52.5,201.9,66.4,0.0,0.0,0.0,0,
3600,1860.8,12.5,201.9,95.7,0.0,0.0,0.0,0,
3700,1860.8,11.9,201.9,95.7,0.0,0.0,0.0,0,
3900,1860.6,11.2,198.5,97.7,0.0,0.0,0.0,0,
4000,1860.9,12.4,188.8,191.4,0.0,0.0,0.0,0,
4100,1861.6,10.9,174.4,205.1,0.0,0.0,0.0,0,
4200,1861.7,10.5,152.3,203.1,0.0,0.0,0.0,0,
4300,1860.5,11.3,122.3,160.2,0.0,0.0,0.0,0,
4400,1860.8,10.3,88.4,158.2,0.0,0.0,0.0,0,
4500,1875.5,140.1,25.8,148.4,0.0,0.0,0.0,0,
4600,1853.7,177.0,69.3,39.1,0.0,0.0,0.0,0,
4700,1854.8,146.7,106.2,37.1,0.0,0.0,0.0,0,
4900,1865.9,229.6,161.6,64.5,0.0,0.0,0.0,0,
5000,1867.7,205.1,191.0,66.4,0.0,0.0,0.0,0,
5100,1853.7,76.7,211.5,95.7,0.0,0.0,0.0,0,
5200,1863.2,15.4,211.5,95.7,0.0,0.0,0.0,0,
5300,1859.5,11.0,211.5,95.7,0.0,0.0,0.0,0,
5400,1860.5,11.3,211.5,95.7,0.0,0.0,0.0,0,
5500,1861.0,11.5,210.3,93.8,0.0,0.0,0.0,0,
5600,1860.7,11.5,200.2,132.8,0.0,0.0,0.0,0,
5700,1860.4,11.6,183.3,193.4,0.0,0.0,0.0,0,
5900,1860.2,11.7,137.1,197.3,0.0,0.0,0.0,0,
6000,1861.0,11.7,91.7,183.6,0.0,0.0,0.0,0,
6100,1859.9,83.7,13.5,154.3,0.0,0.0,0.0,0,
6200,1863.2,143.0,55.4,39.1,0.0,0.0,0.0,0,
