Time(ms),ENV_Value,Marker
0,28.3,
100,8.5,
200,8.1,
300,7.6,
400,5.7,
500,7.3,
600,8.4,
700,10.1,
800,7.1,
900,8.0,
1000,10.6,
1100,97.7,
1200,71.4,
1300,54.7,
1400,61.6,
1500,65.3,
1600,58.4,
1700,11.5,
1800,9.1,
1900,11.3,
2000,6.5,
2100,7.1,
2200,5.9,
2300,5.0,
2400,6.0,
2500,6.2,
2600,5.2,
2700,92.2,
2800,91.3,
2900,71.0,
3000,56.3,
3100,60.4,
3200,74.5,
3300,14.0,
3400,8.3,
3500,17.0,
3600,7.5,
3700,6.2,
3800,6.3,
3900,8.3,
4000,6.2,
4100,5.6,
4200,7.7,
4300,61.7,
4400,76.9,
4500,92.9,
4600,81.1,
4700,64.8,
4800,53.4,
4900,18.7,
5000,6.1,
5100,16.8,
5200,10.4,
5300,4.9,
5400,5.8,
5500,6.1,
5600,9.6,
5700,7.5,
5800,7.2,
5900,83.7,
6000,73.7,
6100,62.4,
6200,74.4,
6300,74.0,
6400,63.8,
6500,24.8,
6600,10.2,
6700,11.2,
6800,6.8,
6900,5.9,
7000,5.9,
7100,5.9,
7200,6.2,
7300,5.3,
7400,4.9,
7500,85.6,
7600,90.0,
7700,79.8,
7800,60.8,
7900,71.0,
8000,81.3,
8100,30.6,
8200,8.4,
8300,7.6,
8400,7.6,
8500,5.9,
8600,9.4,
8700,6.1,
8800,5.0,
8900,5.1,
9000,5.6,
9100,61.2,
9200,82.1,
9300,84.1,
9400,76.8,
9500,65.3,
9600,57.9,
9700,44.6,
9800,8.8,
9900,9.4,
10000,7.0,
10100,5.4,
10200,6.6,
10300,5.3,
10400,5.1,
10500,5.3,
10600,4.5,
10700,69.1,
10800,71.2,
10900,65.7,
11000,79.2,
11100,76.1,
11200,67.7,
11300,56.1,
11400,10.0,
11500,8.9,
11600,8.0,
11700,7.1,
11800,5.4,
11900,6.4,
12000,5.1,
12100,5.0,
12200,6.1,
12400,88.8,
12500,79.8,
12600,61.8,
12700,74.7,
12800,87.1,
12900,74.1,
13000,8.5,
13100,8.2,
13200,7.0,
13300,8.4,
13400,5.3,
13500,5.8,
13600,5.0,
13700,5.0,
13800,5.9,
13900,5.2,
14000,80.7,
14100,92.9,
14200,79.5,
14300,65.2,
14400,63.2,
14500,79.2,
14600,10.2,
14700,9.4,
14800,8.2,
14900,5.7,
15000,5.8,
15100,5.7,
15200,5.8,
15300,5.7,
15400,5.7,
15500,7.1,
15600,70.0,
15700,66.9,
15800,84.1,
15900,74.3,
16000,66.6,
16100,52.1,
16200,11.3,
16300,10.2,
16400,9.5,
16500,10.5,
16600,5.6,
16700,5.6,
16800,5.3,
16900,8.2,
