Time(ms),ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,Marker
0,6.9,311.0,140.6,0.0,0.0,0.0,
100,26.6,311.1,121.1,0.0,0.0,0.0,
200,21.4,292.2,144.5,0.0,0.0,0.0,
300,19.0,267.1,136.7,0.0,0.0,0.0,
400,18.6,243.0,164.1,0.0,0.0,0.0,
500,23.8,200.1,152.3,0.0,0.0,0.0,
600,23.4,164.3,136.7,0.0,0.0,0.0,
700,149.0,49.1,152.3,266.0,2305.0,7.0,
800,165.0,88.2,257.8,624.0,3670.0,12.0,
900,422.6,124.9,195.3,951.0,4328.0,13.0,
1100,15.0,230.6,70.3,951.0,4328.0,13.0,
1200,12.8,230.5,74.2,951.0,4328.0,13.0,
1300,10.8,230.4,257.8,951.0,4328.0,13.0,
1400,10.5,230.3,250.0,951.0,4328.0,13.0,
1500,9.2,230.3,234.4,951.0,4328.0,13.0,
1600,47.2,230.2,253.9,951.0,4328.0,13.0,
1700,40.5,230.7,136.7,951.0,4328.0,13.0,
1800,36.8,215.9,121.1,951.0,4328.0,13.0,
1900,29.1,196.6,132.8,951.0,4328.0,13.0,
2000,27.4,67.4,168.0,951.0,4328.0,13.0,
2100,26.4,32.3,160.2,951.0,4328.0,13.0,
2200,29.6,33.4,160.2,951.0,4328.0,13.0,
2300,138.6,34.8,171.9,433.0,3487.0,30.0,
2400,154.4,78.8,253.9,435.0,3341.0,11.0,
2500,224.1,125.6,250.0,1409.0,5738.0,12.0,
2600,27.4,198.8,105.5,1409.0,5738.0,12.0,
2700,13.2,198.3,70.3,1409.0,5738.0,12.0,
2800,11.0,197.7,187.5,1409.0,5738.0,12.0,
2900,10.3,197.4,246.1,1409.0,5738.0,12.0,
3000,10.3,197.1,226.6,1409.0,5738.0,12.0,
3100,11.0,196.9,253.9,1409.0,5738.0,12.0,
3200,9.4,196.7,253.9,1409.0,5738.0,12.0,
3300,28.1,196.4,265.6,1409.0,5738.0,12.0,
3400,41.0,183.5,226.6,1409.0,5738.0,12.0,
3500,39.0,156.0,125.0,1409.0,5738.0,12.0,
3600,34.8,27.8,140.6,1409.0,5738.0,12.0,
3700,27.8,28.7,152.3,1409.0,5738.0,12.0,
3800,26.0,30.1,144.5,1409.0,5738.0,12.0,
3900,133.9,31.3,168.0,1409.0,5738.0,12.0,
4100,119.5,114.1,156.3,609.0,3655.0,12.0,
4200,30.5,172.4,93.8,609.0,3655.0,12.0,
4300,18.6,175.2,97.7,609.0,3655.0,12.0,
4400,14.7,175.3,253.9,609.0,3655.0,12.0,
4500,10.6,174.8,257.8,609.0,3655.0,12.0,
4600,8.5,174.4,257.8,609.0,3655.0,12.0,
4700,8.9,174.0,234.4,609.0,3655.0,12.0,
4800,9.1,173.7,242.2,609.0,3655.0,12.0,
4900,8.7,173.5,253.9,609.0,3655.0,12.0,
5000,26.3,161.3,257.8,609.0,3655.0,12.0,
5100,38.4,134.6,265.6,609.0,3655.0,12.0,
5200,36.7,40.7,121.1,609.0,3655.0,12.0,
5300,33.5,29.1,121.1,609.0,3655.0,12.0,
5400,33.5,29.2,140.6,609.0,3655.0,12.0,
5500,106.3,29.9,136.7,609.0,3655.0,12.0,
5600,259.5,82.1,183.6,576.0,3350.0,12.0,
5700,69.9,162.3,160.2,721.0,4187.0,21.0,
5800,27.7,166.4,85.9,721.0,4187.0,21.0,
5900,19.4,168.0,140.6,721.0,4187.0,21.0,
6000,20.4,169.3,234.4,721.0,4187.0,21.0,
6100,14.6,170.7,253.9,721.0,4187.0,21.0,
6200,8.3,170.4,253.9,721.0,4187.0,21.0,
6300,10.1,169.9,230.5,721.0,4187.0,21.0,
6400,11.2,169.5,257.8,721.0,4187.0,21.0,
6500,34.9,169.2,242.2,721.0,4187.0,21.0,
6600,41.1,151.3,214.8,721.0,4187.0,21.0,
6700,39.7,59.3,121.1,721.0,4187.0,21.0,
6800,34.9,48.4,125.0,721.0,4187.0,21.0,
6900,35.6,44.0,125.0,721.0,4187.0,21.0,
7000,33.9,40.3,125.0,721.0,4187.0,21.0,
7100,103.0,34.6,156.3,721.0,4187.0,21.0,
7200,272.2,63.2,179.7,703.0,3309.0,13.0,
7300,220.6,156.5,187.5,878.0,5090.0,12.0,
7400,81.9,190.8,93.8,907.0,5526.0,12.0,
7500,29.0,198.2,66.4,907.0,5526.0,12.0,
7600,19.7,198.8,89.8,907.0,5526.0,12.0,
7700,14.9,199.4,257.8,907.0,5526.0,12.0,
7800,10.7,199.2,257.8,907.0,5526.0,12.0,
7900,9.6,198.9,230.5,907.0,5526.0,12.0,
8000,10.1,198.6,230.5,907.0,5526.0,12.0,
8100,8.8,198.2,230.5,907.0,5526.0,12.0,
8200,41.9,190.7,238.3,907.0,5526.0,12.0,
8300,43.8,126.8,152.3,907.0,5526.0,12.0,
8400,31.5,66.3,121.1,907.0,5526.0,12.0,
