Time(ms),Raw_ADC,ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,Marker
0,1863.8,36.5,0.0,0.0,0.0,0.0,0.0,
100,1861.8,37.0,0.0,0.0,0.0,0.0,0.0,
200,1861.9,35.9,0.0,0.0,0.0,0.0,0.0,
300,1861.7,81.0,0.0,0.0,0.0,0.0,0.0,
400,1876.2,94.7,0.0,0.0,0.0,0.0,0.0,
500,1876.0,87.4,0.0,121.1,0.0,0.0,0.0,
600,1875.2,69.3,0.0,121.1,0.0,0.0,0.0,
700,1876.4,71.9,0.0,121.1,0.0,0.0,0.0,
800,1874.6,78.0,0.0,119.1,0.0,0.0,0.0,
900,1861.2,46.5,91.2,119.1,0.0,0.0,0.0,
1000,1864.6,36.9,91.5,119.1,0.0,0.0,0.0,
1100,1859.6,38.1,91.3,119.1,0.0,0.0,0.0,
1200,1860.5,36.3,91.5,119.1,0.0,0.0,0.0,
1300,1858.3,38.2,91.5,119.1,0.0,0.0,0.0,
1400,1858.6,38.7,82.0,119.1,0.0,0.0,0.0,
1500,1861.0,39.8,74.6,119.1,0.0,0.0,0.0,
1600,1860.7,36.3,67.8,119.1,0.0,0.0,0.0,
1700,1860.8,35.3,61.7,119.1,0.0,0.0,0.0,
1900,1856.0,82.0,45.3,119.1,0.0,0.0,0.0,
2000,1880.5,82.0,55.5,121.1,0.0,0.0,0.0,
2100,1867.6,89.8,64.8,121.1,0.0,0.0,0.0,
2200,1869.0,92.9,73.4,121.1,0.0,0.0,0.0,
2300,1874.9,81.1,79.7,121.1,0.0,0.0,0.0,
2400,1868.8,69.0,84.7,121.1,0.0,0.0,0.0,
2500,1865.5,47.3,88.8,119.1,0.0,0.0,0.0,
2600,1855.5,34.4,89.6,119.1,0.0,0.0,0.0,
2700,1863.5,38.6,89.7,119.1,0.0,0.0,0.0,
2900,1865.1,43.0,89.6,119.1,0.0,0.0,0.0,
3000,1861.8,39.3,83.5,119.1,0.0,0.0,0.0,
3100,1862.3,43.0,76.6,119.1,0.0,0.0,0.0,
3200,1861.0,39.3,68.3,119.1,0.0,0.0,0.0,
