Time(ms),ENV_Value
0,16.3
100,50.6
200,52.2
300,48.2
400,46.9
500,45.3
600,43.1
700,43.4
800,78.7
900,141.4
1000,77.3
1100,57.1
1200,45.2
1300,44.3
1400,35.7
1500,39.2
1600,39.4
1700,39.0
1800,39.4
1900,51.2
2000,50.0
2100,48.6
2200,46.7
2300,45.4
2400,91.8
2500,135.5
2600,47.1
2700,47.2
2800,30.8
2900,28.3
3000,29.8
3100,39.0
3200,39.3
3300,38.7
3400,39.5
3500,39.1
3600,51.4
3700,51.6
3800,48.9
3900,48.1
4000,76.6
4100,53.3
4200,29.3
4300,31.2
4400,33.5
4500,33.3
4600,34.5
4700,39.0
4800,38.8
4900,39.8
5000,39.5
5100,39.3
5200,39.5
5300,39.4
5400,47.5
5500,53.0
5600,50.4
5700,35.1
5800,34.1
5900,33.1
6000,31.2
6100,35.8
6200,35.1
6300,38.2
6400,39.5
6500,39.2
6600,38.4
6700,39.7
6800,39.1
6900,39.2
7000,40.9
7100,51.8
7200,51.5
7300,67.1
7400,48.9
7500,31.8
7600,34.5
7700,31.8
7800,31.4
7900,38.2
8000,38.3
8100,38.9
8200,39.1
8300,39.1
8400,50.3
8500,55.7
8600,52.6
8700,51.3
8800,50.6
8900,66.1
9000,48.0
9100,32.1
9200,32.7
9300,34.1
9400,34.0
9500,38.5
9600,38.7
9700,39.4
9800,38.9
9900,38.3
10000,39.1
10100,39.1
10200,38.0
10300,39.5
10400,53.9
10500,72.2
10600,36.3
10700,34.9
10800,36.0
10900,35.4
11000,37.3
11100,38.3
11200,38.9
11300,38.7
11400,38.4
11500,39.2
11600,39.5
11700,38.5
11800,38.9
11900,39.1
12000,38.6
12100,38.9
12200,34.3
12300,33.5
12400,36.5
12500,37.2
12600,37.4
12700,38.5
12800,38.8
12900,38.5
13000,39.1
13100,38.8
13200,39.0
13300,39.8
13400,39.5
13500,38.9
13600,39.5
13700,52.1
13800,48.5
13900,36.2
14000,36.1
14100,37.1
14200,38.5
14300,39.5
14400,39.1
14500,40.3
14600,39.3
14700,38.8
14800,39.2
14900,39.2
15000,38.8
15100,39.0
15200,39.3
15300,71.7
15400,97.2
15500,40.5
15600,46.6
15700,40.5
15800,42.5
15900,40.1
16000,39.4
16100,39.2
16200,38.6
16300,39.3
16400,38.7
16500,39.1
16600,39.4
16700,39.1
16800,39.4
16900,60.3
17000,42.8
17100,42.2
17200,43.5
17300,43.1
17400,56.3
17500,48.1
17600,39.2
