Time(ms),ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,Marker
0,151.0,57.5,191.4,0.0,0.0,0.0,
100,23.0,87.8,148.4,0.0,0.0,0.0,
200,17.7,87.8,148.4,0.0,0.0,0.0,
300,6.4,87.8,148.4,0.0,0.0,0.0,
400,5.2,87.8,148.4,0.0,0.0,0.0,
500,8.0,87.8,148.4,0.0,0.0,0.0,
600,6.2,87.8,148.4,0.0,0.0,0.0,
700,6.5,87.8,148.4,0.0,0.0,0.0,
800,4.2,87.8,148.4,0.0,0.0,0.0,
900,15.4,87.8,148.4,0.0,0.0,0.0,
1000,13.7,87.8,148.4,0.0,0.0,0.0,
1100,32.2,16.1,101.6,0.0,0.0,0.0,
1200,42.9,16.1,101.6,0.0,0.0,0.0,
1300,33.9,16.1,101.6,0.0,0.0,0.0,
1400,26.5,16.1,101.6,0.0,0.0,0.0,
1500,48.7,16.1,101.6,0.0,0.0,0.0,
1600,49.8,16.1,101.6,0.0,0.0,0.0,
1700,22.9,16.1,101.6,0.0,0.0,0.0,
1800,15.8,16.1,101.6,0.0,0.0,0.0,
1900,9.0,16.1,101.6,0.0,0.0,0.0,
2000,11.8,16.1,101.6,0.0,0.0,0.0,
2100,16.1,66.7,195.3,0.0,0.0,0.0,
2200,5.3,66.7,195.3,0.0,0.0,0.0,
2300,14.4,66.7,195.3,0.0,0.0,0.0,
2400,9.1,66.7,195.3,0.0,0.0,0.0,
2500,8.5,66.7,195.3,0.0,0.0,0.0,
2600,11.7,66.7,195.3,0.0,0.0,0.0,
2700,22.1,66.7,195.3,0.0,0.0,0.0,
2800,43.7,66.7,195.3,0.0,0.0,0.0,
2900,35.4,66.7,195.3,0.0,0.0,0.0,
3000,35.5,66.7,195.3,0.0,0.0,0.0,
3100,26.9,43.0,113.3,0.0,0.0,0.0,
3200,48.6,43.0,113.3,0.0,0.0,0.0,
3300,31.2,43.0,113.3,0.0,0.0,0.0,
3400,5.0,43.0,113.3,0.0,0.0,0.0,
3500,8.6,43.0,113.3,0.0,0.0,0.0,
3600,6.0,43.0,113.3,0.0,0.0,0.0,
3700,5.4,43.0,113.3,0.0,0.0,0.0,
3800,5.8,43.0,113.3,0.0,0.0,0.0,
3900,8.3,43.0,113.3,0.0,0.0,0.0,
4000,9.7,43.0,113.3,0.0,0.0,0.0,
4100,13.9,46.9,293.0,0.0,0.0,0.0,
4200,9.0,46.9,293.0,0.0,0.0,0.0,
4300,35.1,46.9,293.0,0.0,0.0,0.0,
4400,35.4,46.9,293.0,0.0,0.0,0.0,
4500,130.2,46.9,293.0,0.0,0.0,0.0,
4600,42.5,46.9,293.0,0.0,0.0,0.0,
4700,35.1,46.9,293.0,0.0,0.0,0.0,
4800,29.4,46.9,293.0,0.0,0.0,0.0,
4900,44.0,46.9,293.0,0.0,0.0,0.0,
5000,6.0,46.9,293.0,0.0,0.0,0.0,
5100,3.3,83.7,207.0,0.0,0.0,0.0,
5200,3.9,83.7,207.0,0.0,0.0,0.0,
5300,3.4,83.7,207.0,0.0,0.0,0.0,
5400,3.3,83.7,207.0,0.0,0.0,0.0,
5500,3.9,83.7,207.0,0.0,0.0,0.0,
5600,5.9,83.7,207.0,0.0,0.0,0.0,
5700,9.4,83.7,207.0,0.0,0.0,0.0,
5800,8.3,83.7,207.0,0.0,0.0,0.0,
5900,18.4,83.7,207.0,0.0,0.0,0.0,
6000,45.1,83.7,207.0,0.0,0.0,0.0,
6100,36.3,43.1,168.0,0.0,0.0,0.0,
6200,25.4,43.1,168.0,0.0,0.0,0.0,
6300,37.7,43.1,168.0,0.0,0.0,0.0,
6400,42.8,43.1,168.0,0.0,0.0,0.0,
6500,47.1,43.1,168.0,0.0,0.0,0.0,
6600,7.9,43.1,168.0,0.0,0.0,0.0,
6700,6.1,43.1,168.0,0.0,0.0,0.0,
