wall_time,timestamp_ms,emg_raw,rms,mdf,rms_slope,mdf_slope,fatigue_detected,is_running,is_stimulating
2026-05-07T19:58:15.438,288638,1861,41.58405,3.90625,0.662935,8.035019,False,False,False
2026-05-07T19:58:16.435,289638,1861,39.10835,3.90625,0.68841,7.707059,False,False,False
2026-05-07T19:58:17.435,290638,4095,233.1992,222.6563,45.38884,286.3188,False,False,False
2026-05-07T19:58:18.441,291638,1862,207.0809,50.78125,77.4995,305.7438,False,False,False
2026-05-07T19:58:19.435,292638,1860,39.37398,3.90625,74.83536,295.0432,False,False,False
2026-05-07T19:58:20.452,293638,1861,513.8868,121.0938,149.1041,342.0447,False,False,False
2026-05-07T19:58:21.435,294638,1861,454.638,27.34375,195.109,339.0639,False,False,False
2026-05-07T19:58:22.457,295638,1863,215.5387,46.875,206.8484,342.8225,False,False,False
2026-05-07T19:58:23.437,296638,1862,40.08284,3.90625,199.2834,329.6371,False,False,False
2026-05-07T19:58:24.436,297638,1861,39.20209,3.90625,191.6712,316.4515,False,False,False
2026-05-07T19:58:25.502,298638,1862,39.33,11.71875,184.0173,306.4896,False,False,False
2026-05-07T19:58:26.436,299638,1857,39.29996,3.90625,176.4677,293.2275,False,False,False
2026-05-07T19:58:27.658,300638,1861,39.50538,3.90625,168.9125,279.9654,False,False,False
2026-05-07T19:58:28.439,301638,1831,60.65611,3.90625,164.1715,266.7033,False,False,False
2026-05-07T19:58:29.499,302638,1846,70.40131,62.5,160.0567,279.6114,False,False,False
2026-05-07T19:58:30.727,303638,1856,49.95891,62.5,153.5504,289.2149,False,False,False
2026-05-07T19:58:31.649,304638,1861,38.95044,3.90625,145.8006,274.9802,False,False,False
2026-05-07T19:58:32.577,305638,1861,39.33109,3.90625,138.0661,260.7455,False,False,False
2026-05-07T19:58:33.495,306638,1860,39.38034,3.90625,130.3024,246.5108,False,False,False
2026-05-07T19:58:34.443,307638,1861,39.35868,3.90625,122.4323,232.2761,False,False,False
2026-05-07T19:58:35.434,308638,1862,39.01561,3.90625,114.631,218.0413,False,False,False
2026-05-07T19:58:36.442,309638,1861,38.93351,3.90625,106.8684,203.8066,False,False,False
2026-05-07T19:58:37.437,310638,1862,39.12912,3.90625,99.22569,189.5719,False,False,False
2026-05-07T19:58:38.435,311638,1863,41.96388,3.90625,91.76219,175.3372,False,False,False
2026-05-07T19:58:39.666,312638,1712,118.9196,226.5625,94.23331,253.3911,False,False,False
2026-05-07T19:58:40.456,313638,1861,477.4645,113.2813,136.7156,271.5772,False,False,False
2026-05-07T19:58:41.437,314638,1860,40.03903,3.90625,127.5588,255.6683,False,False,False
2026-05-07T19:58:42.716,315638,1888,607.3945,35.15625,172.5649,249.0725,False,False,False
2026-05-07T19:58:43.442,316638,1854,387.0081,70.3125,190.2349,252.1456,False,False,False
2026-05-07T19:58:44.551,317638,2683,579.5789,113.2813,217.4561,264.5822,False,False,False
2026-05-07T19:58:46.086,318638,1745,651.5018,27.34375,242.0818,253.8773,False,False,False
2026-05-07T19:58:46.448,319638,1856,681.515,46.875,262.1384,247.9752,False,False,False
2026-05-07T19:58:47.440,320638,1863,576.6428,58.59375,272.8268,244.6037,False,False,False
2026-05-07T19:58:48.516,321638,1851,541.9481,42.96875,279.4903,237.146,False,False,False
2026-05-07T19:58:49.470,322638,0,516.1683,214.8438,283.3031,265.5386,False,False,False
2026-05-07T19:58:50.435,323638,1863,557.2929,85.9375,286.9816,263.7962,False,False,False
2026-05-07T19:58:51.445,324638,1861,280.6973,50.78125,280.2469,255.0919,False,False,False
2026-05-07T19:58:52.470,325638,1862,283.2735,85.9375,273.4769,252.5752,False,False,False
2026-05-07T19:58:53.435,326638,1855,386.2077,42.96875,269.9225,242.0276,False,False,False
2026-05-07T19:58:54.435,327638,1857,398.071,50.78125,266.3284,232.8886,False,False,False
2026-05-07T19:58:55.435,328638,1857,448.6292,46.875,263.9814,223.0164,False,False,False
2026-05-07T19:58:56.843,329638,2277,493.7205,35.15625,262.2401,211.0288,False,False,False
2026-05-07T19:58:57.449,330638,842,673.3807,42.96875,264.9021,200.5319,False,False,False
2026-05-07T19:58:58.678,331638,1141,731.5886,50.78125,267.8525,191.4869,False,False,False
2026-05-07T19:58:59.434,332638,1861,623.5988,31.25,266.7337,178.793,False,False,False
2026-05-07T19:59:00.536,333638,1863,748.5717,62.5,267.9063,172.0133,False,False,False
2026-05-07T19:59:01.461,334638,1282,736.9842,42.96875,267.5955,161.4686,False,False,False
2026-05-07T19:59:02.472,335638,1850,735.1728,39.0625,266.3964,150.2087,False,False,False
2026-05-07T19:59:03.445,336638,2236,603.7822,42.96875,261.7,139.7268,False,False,False
2026-05-07T19:59:04.434,337638,1712,715.7723,50.78125,258.9091,130.7449,False,False,False
2026-05-07T19:59:05.454,338638,1865,754.3712,46.875,256.289,120.983,False,False,False
2026-05-07T19:59:06.443,339638,2900,751.6307,85.9375,253.0429,118.5475,False,False,False
2026-05-07T19:59:07.434,340638,1866,395.772,66.40625,242.6881,112.0939,False,False,False
2026-05-07T19:59:08.824,341638,1945,544.3812,50.78125,235.1199,102.6276,False,False,False
2026-05-07T19:59:09.756,342638,1860,524.3027,85.9375,227.0656,99.51484,False,False,False
2026-05-07T19:59:10.667,343638,1530,633.0439,35.15625,220.9187,87.93698,False,False,False
2026-05-07T19:59:11.440,344638,1859,630.7212,82.03125,214.4978,83.90533,False,False,False
2026-05-07T19:59:12.434,345638,1447,684.6188,89.84375,208.8559,80.91462,False,False,False
2026-05-07T19:59:13.433,346638,576,751.4222,27.34375,204.1472,66.68958,False,False,False
2026-05-07T19:59:14.559,347638,1903,574.9241,31.25,196.0018,53.23467,False,False,False
2026-05-07T19:59:15.443,348638,990,372.9591,183.5938,184.2737,66.33943,False,False,False
2026-05-07T19:59:16.509,349638,1803,517.3961,89.84375,175.1239,62.1567,False,False,False
2026-05-07T19:59:17.440,350638,2672,836.5217,109.375,178.0118,107.5641,False,False,False
2026-05-07T19:59:18.444,351638,1861,474.3917,78.125,173.2022,111.1667,False,False,False
2026-05-07T19:59:19.438,352638,1859,606.9547,3.90625,165.2355,92.64299,False,False,False
2026-05-07T19:59:20.434,353638,1862,408.6682,50.78125,168.5707,107.8583,False,False,False
2026-05-07T19:59:21.437,354638,2439,225.9948,132.8125,166.9484,114.6716,False,False,False
2026-05-07T19:59:22.647,355638,1861,490.8828,74.21875,162.5041,116.3035,False,False,False
2026-05-07T19:59:23.566,356638,1862,365.3628,3.90625,150.312,97.75111,False,False,False
2026-05-07T19:59:24.462,357638,1487,385.2595,74.21875,138.5085,90.09611,False,False,False
2026-05-07T19:59:25.745,358638,1862,75.24674,15.625,121.051,74.96754,False,False,False
2026-05-07T19:59:27.067,359638,1863,39.27856,3.90625,102.9188,56.38254,False,False,False
2026-05-07T19:59:27.441,360638,1861,39.15062,3.90625,84.78971,37.79748,False,False,False
2026-05-07T19:59:28.887,361638,1862,39.7896,3.90625,67.24274,19.21243,False,False,False
2026-05-07T19:59:29.435,362638,1863,39.37479,3.90625,49.93027,11.6659,False,False,False
2026-05-07T19:59:30.645,363638,1927,234.9439,3.90625,36.38911,4.209732,False,False,False
2026-05-07T19:59:31.865,364638,1861,202.6893,3.90625,21.9074,-14.32301,False,False,False
2026-05-07T19:59:32.445,365638,1869,363.8654,3.90625,11.13257,-32.85575,False,False,False
2026-05-07T19:59:33.703,366638,1814,376.923,62.5,0.672751,-39.79416,False,False,False
2026-05-07T19:59:34.645,367638,1731,268.1536,117.1875,-12.25109,-36.4595,False,False,False
2026-05-07T19:59:35.438,368638,1799,483.5607,62.5,-20.18817,-43.9939,False,False,False
2026-05-07T19:59:36.472,369638,1731,350.2313,62.5,-31.23469,-51.61164,False,False,False
2026-05-07T19:59:37.707,370638,1863,213.7943,50.78125,-45.41458,-61.47103,False,False,False
2026-05-07T19:59:38.641,371638,1862,221.739,3.90625,-59.29686,-80.14433,False,False,False
