session,subject,dur_s,dc,dropped,clip_pct,n_burst,period_ms,duty_pct,ppb,prate_hz,n_pulse,marker,lat_ms,mw_lo,mw_hi,sta_ratio,sign_cons,spike_clip,drop_bias,warn,n_block,gate,gate_ok,R_med,art_rho,art_pct_min,art_q1q4,mw_rho,mw_pct_min,mw_q1q4,R_rho,R_pct_min,R_q1q4,verdict
20260716_223030,0583,247.4,1857.0,0,0.002829426030719483,139,1614.0,31.964834276475347,20.0,31.94888178913738,2720,,3.0,3.0,6.0,0.9541087293350776,0.782560706401766,0.07352941176470588,-0.19830795262267345,극성 소수파 22% 버림 (초반편중 -20% — R 시작점 편향),12,,True,0.481774102289366,-0.6503496503496503,-8.6417074106947,-26.67663155981208,-0.5874125874125874,-16.43208762660435,-39.127209385434384,-0.2097902097902098,-10.311736522844864,-16.206181521917216,"R 해석보류 — 대조군 불안정 (art ρ=-0.65, Q1→Q4 -27%)"
20260717_013937,7826,21.1,1861.0,0,0.0,12,1612.0,29.270142180094787,16.5,26.96078431372549,186,,,,,,0.6344086021505376,0.0,0.4029411764705882,극성 소수파 37% 버림 (초반편중 +40% — R 시작점 편향),0,다수파 시행 118개(<200),False,,,,,,,,,,,분석불가 — 다수파 시행 118개(<200)
20260717_021109,7826,353.7,1859.0,0,0.0,223,1612.0,38.4959004806333,20.0,31.94888178913738,4387,,7.0,5.0,13.0,0.7901837972433797,0.9528151356279918,0.0,-0.04057971014492756,극성 소수파 5% 버림,17,,True,0.47368014248016516,-0.42892156862745096,-3.455101436869222,-8.742942736023329,-0.4632352941176471,-2.5138765405944334,-11.083863810188433,0.11764705882352941,0.9460915184514286,-1.2751558334099022,추세없음 — R -1%
20260717_023422,7826,232.4,1866.0,0,0.0,166,1611.0,37.38855421686747,19.0,30.99510603588907,2648,mediumx1,11.0,9.0,16.0,0.9998368062992768,0.7590634441087614,0.0,-0.18275862068965518,극성 소수파 24% 버림 (초반편중 -18% — R 시작점 편향),12,,True,0.48055106993381547,-0.6783216783216783,-10.591834207080865,-24.092725153987004,-0.8111888111888111,-12.167623427711673,-31.575215460586747,-0.5104895104895105,-2.9575991819338348,-6.8208156340873405,"R 해석보류 — 대조군 불안정 (art ρ=-0.68, Q1→Q4 -24%)"
20260717_033307,0998,297.7,1859.0,100,0.22304333221363787,186,1622.0,37.061807188444746,19.0,30.944625407166125,3673,rest_endx1,5.0,4.0,8.0,0.9999385765648415,0.6904437789273075,13.612850530901172,-0.029375549692172404,극성 소수파 31% 버림,0,대조군 포화 14%,False,,,,,,,,,,,분석불가 — 대조군 포화 14%
20260717_042118,0998,595.7,1862.0,0,0.29461138156790334,473,1616.0,38.44955514520732,19.0,30.99510603588907,7356,"rest_endx1,mediumx1,hardx1",3.0,3.0,6.0,0.9999840495642872,1.0,23.858075040783035,0.0,,0,대조군 포화 24%,False,,,,,,,,,,,분석불가 — 대조군 포화 24%
20260717_134134,0998,252.1,1865.0,0,0.0015866719555731853,160,1619.0,31.66322887742959,20.0,32.467532467532465,3045,rest_endx1,11.0,10.0,15.0,0.9968987712112347,0.9753694581280788,0.13136288998357964,0.10666666666666663,극성 소수파 2% 버림 (초반편중 +11% — R 시작점 편향),12,,True,0.41500773967980853,0.3916083916083916,2.0265480587703997,14.264669929676943,0.48951048951048953,42.20882249858253,122.34659094764125,0.5314685314685315,39.75066677351652,100.04159382023268,"R 해석보류 — 대조군 불안정 (art ρ=+0.39, Q1→Q4 +14%)"
20260717_135747,0998,17.1,1861.0,0,0.0,9,1620.0,29.760233918128655,20.0,32.05128205128205,163,rest_endx1,,,,,0.8220858895705522,0.0,-0.027586206896551724,극성 소수파 18% 버림,0,다수파 시행 134개(<200),False,,,,,,,,,,,분석불가 — 다수파 시행 134개(<200)
20260717_135910,0998,16.9,1859.0,0,0.0,10,1620.0,36.30177514792899,19.0,30.944625407166125,200,rest_endx1,,,,,0.645,0.0,0.06760563380281687,극성 소수파 36% 버림,0,다수파 시행 129개(<200),False,,,,,,,,,,,분석불가 — 다수파 시행 129개(<200)
20260717_140152,7826,139.5,1860.0,0,0.0,1,,1.5168458781362006,65.0,30.718336483931946,699,rest_endx1,5.0,3.0,9.0,0.9188118811881187,0.9899713467048711,0.0,-0.2,극성 소수파 1% 버림 (초반편중 -20% — R 시작점 편향),0,버스트 1개(<8); 버스트당 펄스 65,False,,,,,,,,,,,분석불가 — 버스트 1개(<8); 버스트당 펄스 65
