ms,env,rms,mdf,run,stim,hc,b,rr,st,mwa,mwc,mwl,mwn,mk,req,req_dur,req_end
5000,197.18,117.91,185.91,true,true,0,,,calibrating,1004.35,7214.35,8.15,1,session_start,,,
5100,192.93,,,true,true,,,,,,,,,,,,
5200,200.12,,,true,true,,,,,,,,,,,,
5300,192.6,,,true,true,,,,,,,,,,,,
5400,198.94,,,true,true,,,,,,,,,,,,
5500,193.12,,,true,true,,,,,,,,,,,,
5600,193.45,,,true,true,,,,,,,,,,,,
5700,198.79,,,true,true,,,,,,,,,,,,
5800,205.23,,,true,true,,,,,,,,,,,,
5900,193.98,,,true,true,,,,,,,,,,,,
6000,195.57,120.76,187.69,true,true,1,,,calibrating,,,,,,,,
6100,201.23,,,true,true,,,,,,,,,,,,
6200,198.35,,,true,true,,,,,,,,,,,,
6300,207.62,,,true,true,,,,,,,,,,,,
6400,192.75,,,true,true,,,,,,,,,,,,
6500,40.74,,,true,true,,,,,,,,,,,,
6600,31.63,,,true,true,,,,,,,,,,,,
6700,29.31,,,true,true,,,,,,,,,,,,
6800,28.88,,,true,true,,,,,,,,,,,,
6900,31.94,,,true,true,,,,,,,,,,,,
7000,40.06,118.08,185.49,true,true,2,,,calibrating,,,,,,,,
7100,37.22,,,true,true,,,,,,,,,,,,
7200,32.96,,,true,true,,,,,,,,,,,,
7300,35.76,,,true,true,,,,,,,,,,,,
7400,28.0,,,true,true,,,,,,,,,,,,
7500,27.95,,,true,true,,,,,,,,,,,,
7600,30.3,,,true,true,,,,,,,,,,,,
7700,37.89,,,true,true,,,,,,,,,,,,
7800,33.84,,,true,true,,,,,,,,,,,,
7900,32.03,,,true,true,,,,,,,,,,,,
8000,201.37,119.72,183.8,true,true,3,,,calibrating,1047.66,7279.6,8.1,2,,,,
8100,201.19,,,true,true,,,,,,,,,,,,
8200,200.4,,,true,true,,,,,,,,,,,,
8300,206.0,,,true,true,,,,,,,,,,,,
8400,203.67,,,true,true,,,,,,,,,,,,
8500,196.61,,,true,true,,,,,,,,,,,,
8600,207.68,,,true,true,,,,,,,,,,,,
8700,193.89,,,true,true,,,,,,,,,,,,
8800,198.69,,,true,true,,,,,,,,,,,,
8900,204.11,,,true,true,,,,,,,,,,,,
9000,194.43,119.93,182.24,true,true,4,,,calibrating,,,,,,,,
9100,202.69,,,true,true,,,,,,,,,,,,
9200,204.23,,,true,true,,,,,,,,,,,,
9300,201.17,,,true,true,,,,,,,,,,,,
9400,206.01,,,true,true,,,,,,,,,,,,
9500,32.02,,,true,true,,,,,,,,,,,,
9600,38.12,,,true,true,,,,,,,,,,,,
9700,36.51,,,true,true,,,,,,,,,,,,
9800,36.28,,,true,true,,,,,,,,,,,,
9900,34.3,,,true,true,,,,,,,,,,,,
10000,40.44,122.67,184.84,true,true,5,,,calibrating,,,,,,,,
10100,37.63,,,true,true,,,,,,,,,,,,
10200,27.97,,,true,true,,,,,,,,,,,,
10300,38.22,,,true,true,,,,,,,,,,,,
10400,37.35,,,true,true,,,,,,,,,,,,
10500,42.89,,,true,true,,,,,,,,,,,,
10600,40.15,,,true,true,,,,,,,,,,,,
10700,31.55,,,true,true,,,,,,,,,,,,
10800,33.17,,,true,true,,,,,,,,,,,,
10900,37.7,,,true,true,,,,,,,,,,,,
11000,192.36,119.77,183.01,true,true,6,,,calibrating,1007.03,7023.58,8.31,3,,,,
11100,194.07,,,true,true,,,,,,,,,,,,
11200,195.96,,,true,true,,,,,,,,,,,,
11300,198.26,,,true,true,,,,,,,,,,,,
11400,205.94,,,true,true,,,,,,,,,,,,
11500,193.29,,,true,true,,,,,,,,,,,,
11600,199.19,,,true,true,,,,,,,,,,,,
11700,200.79,,,true,true,,,,,,,,,,,,
11800,206.13,,,true,true,,,,,,,,,,,,
11900,205.11,,,true,true,,,,,,,,,,,,
12000,205.82,118.67,184.49,true,true,7,,,calibrating,,,,,,,,
12100,197.74,,,true,true,,,,,,,,,,,,
12200,206.15,,,true,true,,,,,,,,,,,,
12300,207.32,,,true,true,,,,,,,,,,,,
12400,194.41,,,true,true,,,,,,,,,,,,
12500,29.82,,,true,true,,,,,,,,,,,,
12600,30.71,,,true,true,,,,,,,,,,,,
12700,30.73,,,true,true,,,,,,,,,,,,
12800,34.76,,,true,true,,,,,,,,,,,,
12900,36.43,,,true,true,,,,,,,,,,,,
13000,31.2,117.02,184.51,true,true,8,120.0,0.975,normal,,,,,,,,
13100,32.91,,,true,true,,,,,,,,,,,,
13200,36.06,,,true,true,,,,,,,,,,,,
13300,42.25,,,true,true,,,,,,,,,,,,
13400,38.05,,,true,true,,,,,,,,,,,,
13500,35.25,,,true,true,,,,,,,,,,,,
13600,36.88,,,true,true,,,,,,,,,,,,
13700,37.82,,,true,true,,,,,,,,,,,,
13800,27.86,,,true,true,,,,,,,,,,,,
13900,41.39,,,true,true,,,,,,,,,,,,
14000,204.48,122.25,186.79,true,true,9,120.0,1.019,normal,1023.54,7159.59,8.04,4,,,,
14100,202.15,,,true,true,,,,,,,,,,,,
14200,193.0,,,true,true,,,,,,,,,,,,
14300,193.08,,,true,true,,,,,,,,,,,,
14400,195.34,,,true,true,,,,,,,,,,,,
14500,194.6,,,true,true,,,,,,,,,,,,
14600,197.44,,,true,true,,,,,,,,,,,,
14700,192.84,,,true,true,,,,,,,,,,,,
14800,192.0,,,true,true,,,,,,,,,,,,
14900,194.42,,,true,true,,,,,,,,,,,,
15000,193.62,119.18,182.15,true,true,10,120.0,0.993,normal,,,,,,,,
15100,205.99,,,true,true,,,,,,,,,,,,
15200,201.83,,,true,true,,,,,,,,,,,,
15300,194.38,,,true,true,,,,,,,,,,,,
15400,196.04,,,true,true,,,,,,,,,,,,
