subject,session,datetime,charging,charging_label,duration_s,n_bursts,n_pulses,n_detected,detect_rate_pct,rest_end_s,isi_mean_ms,isi_std_ms,isi_cv_pct,burst_period_mean_ms,burst_period_std_ms,mwave_ref_p2p,mwave_p2p_pct_change,vol_mdf_slope_hz_per_s,vol_mdf_pct_change
subject_1780674970583,raw_20260716_223030,2026-07-16T22:30:30,1,charging,247.4,153,3060,1836,60.0,15.0,32.955,9.446,28.664,1004.854,620.824,421.79,-10.0,-0.0712,-18.6
subject_1780674970583,raw_20260717_141940,2026-07-17T14:19:40,1,charging,899.7,556,11120,10997,98.9,14.8,31.419,2.874,9.147,1618.894,25.076,378.75,-60.5,-0.0611,-40.5
subject_1780674970583,raw_20260717_144215,2026-07-17T14:42:15,1,charging,902.1,558,11160,4575,41.0,14.9,36.627,17.389,47.475,529.608,452.3,848.07,-26.3,0.0086,10.5
subject_1780674970583,raw_20260717_151419,2026-07-17T15:14:19,1,charging,130.8,81,1620,1014,62.6,14.8,39.186,20.083,51.25,1028.103,644.987,560.22,-10.6,-0.1325,-16.7
subject_1780674970583,raw_20260717_152153,2026-07-17T15:21:53,1,charging,766.0,458,9160,3153,34.4,14.9,43.984,22.653,51.502,1158.474,742.253,122.29,0.9,0.0091,7.6
subject_1780674970583,raw_20260717_160639,2026-07-17T16:06:39,1,charging,738.0,457,9140,5432,59.4,14.91,35.897,14.493,40.374,995.71,623.182,136.01,8.5,0.0949,66.0
subject_1780674970583,raw_20260720_200306,2026-07-20T20:03:06,1,charging,779.3,482,9640,2609,27.1,14.8,43.463,21.273,48.944,601.936,493.296,736.74,-19.9,-0.0023,-1.9
subject_1780674970583,raw_20260720_202248,2026-07-20T20:22:48,1,charging,752.5,465,9300,9298,100.0,14.8,31.142,1.882,6.044,1618.69,1.984,546.63,-2.8,-0.2271,-31.5
subject_1780674970583,raw_20260721_102627,2026-07-21T10:26:27,0,not_charging,788.2,486,9720,3849,39.6,14.9,43.671,20.085,45.993,654.938,558.052,518.97,29.5,-0.0064,-5.3
subject_1784219707826,raw_20260717_013937,2026-07-17T01:39:37,1,charging,21.1,11,220,168,76.4,15.0,34.083,12.097,35.492,1428.636,441.523,760.65,,,
subject_1784219707826,raw_20260717_021109,2026-07-17T02:11:09,1,charging,353.7,218,4360,3386,77.7,15.0,31.437,4.209,13.389,1416.573,449.988,347.55,-15.6,-0.172,-32.0
subject_1784219707826,raw_20260717_023422,2026-07-17T02:34:22,1,charging,232.4,102,2040,695,34.1,15.0,32.526,7.934,24.393,1725.878,1548.944,478.14,-62.1,-0.3229,-47.5
