Time(ms),Raw_ADC,ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,Marker
0,1860.0,16.8,0.0,0.0,0.0,0.0,0.0,
100,1857.9,16.2,0.0,0.0,0.0,0.0,0.0,
200,1863.3,16.9,0.0,0.0,0.0,0.0,0.0,
300,1867.3,15.0,0.0,0.0,0.0,0.0,0.0,
400,1861.0,16.4,0.0,0.0,0.0,0.0,0.0,
500,1861.0,68.5,0.0,199.2,0.0,0.0,0.0,
600,1873.5,79.9,0.0,144.5,0.0,0.0,0.0,
700,1877.6,85.9,0.0,68.4,0.0,0.0,0.0,
800,1869.2,130.6,0.0,66.4,441.0,1426.0,5.0,
900,1833.8,84.0,105.9,66.4,414.0,1219.0,5.0,
1000,1870.8,75.3,111.5,130.9,414.0,1219.0,5.0,
1100,1877.8,69.5,116.7,191.4,414.0,1219.0,5.0,
1200,1866.3,39.8,119.5,160.2,414.0,1219.0,5.0,
1300,1863.6,26.8,120.1,95.7,414.0,1219.0,5.0,
1400,1861.2,20.4,120.4,66.4,414.0,1219.0,5.0,
1500,1863.3,22.1,120.5,72.3,414.0,1219.0,5.0,
1600,1865.2,22.5,114.7,91.8,414.0,1219.0,5.0,
1700,1858.5,20.8,109.1,128.9,414.0,1219.0,5.0,
1900,1863.6,19.4,62.3,199.2,414.0,1219.0,5.0,
2000,1860.5,23.5,51.6,166.0,414.0,1219.0,5.0,
2100,1862.6,80.7,39.0,144.5,414.0,1219.0,5.0,
2200,1861.2,114.1,59.6,132.8,520.0,1838.0,5.0,
2300,1841.6,66.9,93.6,162.1,466.0,1473.0,5.0,
2400,1873.5,71.7,99.7,191.4,466.0,1473.0,5.0,
2500,1880.3,106.7,105.7,191.4,466.0,1473.0,5.0,
2600,1838.8,101.3,124.9,130.9,403.0,1366.0,5.0,
2700,1849.9,60.7,139.4,128.9,403.0,1366.0,5.0,
2900,1862.0,22.0,141.7,195.3,403.0,1366.0,5.0,
3000,1859.1,27.5,141.8,160.2,403.0,1366.0,5.0,
3100,1865.0,18.7,141.8,99.6,403.0,1366.0,5.0,
3200,1861.9,26.8,132.0,111.3,403.0,1366.0,5.0,
3300,1866.2,22.2,110.0,123.0,403.0,1366.0,5.0,
3400,1861.3,16.4,104.5,121.1,403.0,1366.0,5.0,
3500,1863.8,20.4,98.3,119.1,403.0,1366.0,5.0,
3600,1863.3,19.1,72.5,125.0,403.0,1366.0,5.0,
3700,1860.6,42.6,37.3,138.7,403.0,1366.0,5.0,
3900,1872.6,92.0,58.9,66.4,403.0,1366.0,5.0,
4000,1853.7,87.2,84.0,64.5,384.0,1277.0,5.0,
4100,1846.1,73.5,106.6,68.4,416.0,1383.0,5.0,
4200,1878.2,86.7,112.3,162.1,416.0,1383.0,5.0,
4300,1869.9,103.4,117.5,164.1,416.0,1383.0,5.0,
4400,1853.6,23.1,128.0,121.1,443.0,1268.0,5.0,
4500,1862.8,22.1,128.7,97.7,443.0,1268.0,5.0,
