Time(ms),Raw_ADC,ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,MW_Valid,Marker
0,1876.2,197.9,0.0,146.8,0.0,0.0,0.0,0,
100,1856.2,181.7,0.0,146.8,0.0,0.0,0.0,0,
200,1842.2,160.3,0.0,146.8,0.0,0.0,0.0,0,
300,1880.0,157.3,0.0,146.8,0.0,0.0,0.0,0,
400,1856.5,186.1,0.0,146.8,0.0,0.0,0.0,0,
502,1844.9,173.5,0.0,219.1,0.0,0.0,0.0,0,
602,1857.7,37.8,0.0,225.7,0.0,0.0,0.0,0,
702,1856.1,25.2,0.0,131.7,0.0,0.0,0.0,0,
802,1858.2,21.3,0.0,125.5,0.0,0.0,0.0,0,
902,1862.7,20.8,0.0,115.2,0.0,0.0,0.0,0,
1002,1861.5,21.1,0.0,108.0,0.0,0.0,0.0,0,
1102,1862.4,23.4,0.0,86.4,0.0,0.0,0.0,0,
1202,1862.2,21.6,0.0,84.0,0.0,0.0,0.0,0,
1302,1862.8,20.5,0.0,94.3,0.0,0.0,0.0,0,
1402,1863.8,22.2,0.0,174.5,0.0,0.0,0.0,0,
1502,1861.4,22.3,0.0,215.4,0.0,0.0,0.0,0,
1602,1856.9,192.9,154.0,66.3,0.0,0.0,0.0,0,
1702,1890.8,131.4,152.3,47.5,0.0,0.0,0.0,0,
1802,1846.4,78.8,147.9,67.3,1077.0,4109.0,8.0,1,
1902,1849.4,69.9,136.9,139.4,1094.0,4160.0,7.0,1,
2003,1867.6,51.8,123.1,165.1,1054.0,3732.0,7.0,1,
2103,1845.5,48.3,106.5,133.8,1056.0,3810.0,7.0,1,
2203,1843.0,28.2,101.1,35.9,1134.0,3954.0,7.0,1,
2303,1849.1,24.0,101.1,43.8,1134.0,3954.0,7.0,1,
2503,1857.0,26.5,101.1,156.3,1134.0,3954.0,7.0,1,
2603,1866.0,25.8,101.0,124.0,1134.0,3954.0,7.0,1,
2703,1865.9,24.9,101.0,78.0,1134.0,3954.0,7.0,1,
2803,1866.4,22.8,101.0,78.0,1134.0,3954.0,7.0,1,
2903,1866.8,25.4,101.0,114.5,1134.0,3954.0,7.0,1,
3003,1866.5,26.8,101.0,232.1,1134.0,3954.0,7.0,1,
3103,1865.7,30.8,101.2,232.8,1134.0,3954.0,7.0,1,
3203,1860.2,242.4,103.8,85.6,792.0,5357.0,25.0,0,
3303,1871.2,106.8,99.2,66.1,721.0,3771.0,3.0,1,
3503,1844.7,130.9,122.4,67.8,1121.0,4221.0,28.0,0,
3603,1875.2,125.6,125.2,45.4,1284.0,5370.0,9.0,1,
3703,1856.5,128.1,130.7,66.6,1142.0,4525.0,9.0,1,
3803,1859.6,74.9,138.0,190.0,1066.0,3687.0,8.0,1,
3903,1860.1,36.6,138.0,125.4,1066.0,3687.0,8.0,1,
4003,1861.5,30.5,138.1,44.1,1066.0,3687.0,8.0,1,
4103,1865.7,31.4,138.1,40.8,1066.0,3687.0,8.0,1,
4203,1864.2,32.2,138.1,72.2,1066.0,3687.0,8.0,1,
4303,1864.2,32.7,138.3,240.3,1066.0,3687.0,8.0,1,
4503,1863.2,33.4,138.7,239.5,1066.0,3687.0,8.0,1,
4603,1863.6,34.3,138.8,240.4,1066.0,3687.0,8.0,1,
4703,1862.4,32.7,138.9,240.5,1066.0,3687.0,8.0,1,
4803,1861.4,203.9,140.6,167.7,801.0,5814.0,3.0,1,
4903,1878.2,172.0,138.5,40.6,829.0,3711.0,11.0,1,
5003,1855.9,134.5,134.8,42.4,1700.0,6282.0,3.0,1,
