Time(ms),Raw_ADC,ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,Marker
0,1857.5,16.0,0.0,0.0,0.0,0.0,0.0,
100,1861.6,17.1,0.0,0.0,0.0,0.0,0.0,
200,1856.2,20.0,0.0,0.0,0.0,0.0,0.0,
300,1859.9,19.4,0.0,0.0,0.0,0.0,0.0,
400,1858.9,20.7,0.0,0.0,0.0,0.0,0.0,
500,1859.8,17.3,0.0,119.1,0.0,0.0,0.0,
600,1866.7,19.7,0.0,119.1,0.0,0.0,0.0,
700,1858.2,19.7,0.0,119.1,0.0,0.0,0.0,
800,1865.6,98.0,0.0,119.1,0.0,0.0,0.0,
900,1867.3,116.2,58.2,119.1,0.0,0.0,0.0,
1000,1878.7,93.2,83.4,97.7,0.0,0.0,0.0,
1100,1849.9,97.0,99.5,97.7,0.0,0.0,0.0,
1200,1866.4,157.4,113.9,95.7,0.0,0.0,0.0,
1300,1861.6,191.6,139.2,97.7,0.0,0.0,0.0,
1400,1861.8,40.6,159.5,97.7,0.0,0.0,0.0,
1500,1859.1,17.7,159.5,97.7,0.0,0.0,0.0,
1600,1859.3,16.6,159.4,97.7,0.0,0.0,0.0,
1700,1858.0,19.1,159.5,97.7,0.0,0.0,0.0,
1900,1860.1,18.2,150.6,121.1,0.0,0.0,0.0,
2000,1859.3,17.5,138.2,119.1,0.0,0.0,0.0,
2100,1859.2,21.2,127.1,121.1,0.0,0.0,0.0,
2200,1859.4,20.1,114.5,119.1,0.0,0.0,0.0,
2300,1860.7,20.0,81.8,119.1,0.0,0.0,0.0,
2400,1857.5,49.3,28.6,119.1,0.0,0.0,0.0,
2500,1861.0,102.0,46.2,119.1,0.0,0.0,0.0,
2600,1851.8,119.0,63.7,99.6,0.0,0.0,0.0,
2700,1850.0,109.3,80.5,97.7,0.0,0.0,0.0,
2900,1832.7,126.8,118.1,97.7,0.0,0.0,0.0,
3000,1851.9,37.8,128.7,97.7,0.0,0.0,0.0,
3100,1859.1,19.4,128.6,97.7,0.0,0.0,0.0,
3200,1857.1,18.4,128.6,99.6,0.0,0.0,0.0,
3300,1858.3,19.0,128.6,99.6,0.0,0.0,0.0,
3400,1860.5,20.3,127.9,119.1,0.0,0.0,0.0,
3500,1859.7,17.5,122.6,119.1,0.0,0.0,0.0,
3600,1860.0,18.5,114.6,119.1,0.0,0.0,0.0,
3700,1858.5,18.1,103.4,119.1,0.0,0.0,0.0,
3900,1858.7,19.5,56.8,121.1,0.0,0.0,0.0,
4000,1858.0,73.1,34.7,119.1,0.0,0.0,0.0,
4100,1851.8,80.8,63.7,195.3,0.0,0.0,0.0,
4200,1844.1,119.5,87.4,183.6,0.0,0.0,0.0,
4300,1862.4,149.2,105.5,127.0,0.0,0.0,0.0,
4400,1864.7,137.7,118.8,97.7,0.0,0.0,0.0,
4500,1869.6,118.1,134.4,97.7,0.0,0.0,0.0,
4600,1865.2,48.4,145.8,95.7,0.0,0.0,0.0,
4700,1857.3,19.5,145.8,95.7,0.0,0.0,0.0,
4900,1860.1,17.7,145.8,95.7,0.0,0.0,0.0,
5000,1858.5,23.0,143.8,101.6,0.0,0.0,0.0,
5100,1861.1,22.3,133.6,121.1,0.0,0.0,0.0,
5200,1861.0,19.5,119.5,121.1,0.0,0.0,0.0,
5300,1858.5,17.8,103.7,121.1,0.0,0.0,0.0,
5400,1857.7,20.8,88.1,121.1,0.0,0.0,0.0,
5500,1859.7,24.0,62.0,121.1,0.0,0.0,0.0,
5600,1863.2,46.8,30.0,119.1,0.0,0.0,0.0,
5700,1867.2,96.1,43.9,119.1,0.0,0.0,0.0,
5900,1883.7,127.4,91.9,99.6,0.0,0.0,0.0,
6000,1845.0,201.0,139.5,97.7,0.0,0.0,0.0,
6100,1868.2,247.1,173.5,95.7,0.0,0.0,0.0,
6200,1864.5,90.8,201.6,95.7,0.0,0.0,0.0,
6300,1857.3,24.3,201.6,95.7,0.0,0.0,0.0,
6400,1860.1,16.6,201.6,95.7,0.0,0.0,0.0,
6500,1859.1,17.1,201.5,95.7,0.0,0.0,0.0,
6600,1861.2,17.7,200.9,97.7,0.0,0.0,0.0,
6700,1860.8,18.6,198.3,121.1,0.0,0.0,0.0,
6900,1862.0,22.3,181.2,119.1,0.0,0.0,0.0,
7000,1861.3,15.3,147.6,119.1,0.0,0.0,0.0,
7100,1857.1,20.6,105.6,119.1,0.0,0.0,0.0,
7200,1861.0,30.4,26.8,119.1,0.0,0.0,0.0,
7300,1849.8,111.3,48.3,121.1,0.0,0.0,0.0,
7400,1847.8,271.4,112.7,103.5,0.0,0.0,0.0,
7500,1846.3,239.5,157.9,97.7,1473.0,3842.0,30.0,
7600,1840.7,204.5,193.7,97.7,1473.0,3842.0,30.0,
7700,1844.2,187.7,232.0,97.7,1655.0,4110.0,30.0,
7900,1867.8,25.3,258.2,97.7,1655.0,4110.0,30.0,
8000,1861.3,21.4,258.2,97.7,1655.0,4110.0,30.0,
8100,1859.5,17.8,258.2,99.6,1655.0,4110.0,30.0,
8200,1861.2,20.6,258.0,101.6,1655.0,4110.0,30.0,
8300,1859.9,23.6,254.9,119.1,1655.0,4110.0,30.0,
8400,1863.1,20.5,233.7,119.1,1655.0,4110.0,30.0,
8500,1860.8,17.9,206.0,119.1,1655.0,4110.0,30.0,
8600,1860.5,18.7,172.8,119.1,1655.0,4110.0,30.0,
8700,1859.0,19.8,116.3,119.1,1655.0,4110.0,30.0,
8900,1845.9,98.6,53.5,121.1,1655.0,4110.0,30.0,
9000,1868.2,106.7,78.7,164.1,1655.0,4110.0,30.0,
9100,1839.1,146.4,111.9,128.9,1655.0,4110.0,30.0,
9200,1865.7,228.5,139.4,97.7,1655.0,4110.0,30.0,
9300,1866.8,219.8,169.1,97.7,1655.0,4110.0,30.0,
9400,1878.6,188.3,205.9,97.7,1242.0,3210.0,30.0,
9500,1850.3,24.3,212.4,97.7,1242.0,3210.0,30.0,
9600,1861.7,19.3,212.4,97.7,1242.0,3210.0,30.0,
9700,1862.3,19.5,212.4,97.7,1242.0,3210.0,30.0,
9900,1860.0,20.4,207.2,119.1,1242.0,3210.0,30.0,
10000,1858.2,24.5,199.1,119.1,1242.0,3210.0,30.0,
10100,1861.2,21.1,182.5,119.1,1242.0,3210.0,30.0,
10200,1859.3,21.0,162.6,119.1,1242.0,3210.0,30.0,
10300,1859.8,21.0,131.4,119.1,1242.0,3210.0,30.0,
10400,1859.9,33.3,58.9,119.1,1242.0,3210.0,30.0,
10500,1867.8,109.4,44.7,119.1,1242.0,3210.0,30.0,
10600,1864.7,145.3,70.4,128.9,1242.0,3210.0,30.0,
10700,1873.0,160.9,100.6,119.1,1242.0,3210.0,30.0,
10900,1858.6,233.6,180.6,97.7,1264.0,3370.0,30.0,
11000,1871.7,265.3,210.5,95.7,1132.0,3668.0,30.0,
11100,1866.1,33.1,220.1,95.7,623.0,2507.0,23.0,
11200,1859.8,22.4,220.0,95.7,623.0,2507.0,23.0,
11300,1858.3,23.1,220.0,95.7,623.0,2507.0,23.0,
11400,1864.8,20.7,220.1,95.7,623.0,2507.0,23.0,
11500,1862.3,20.3,217.1,119.1,623.0,2507.0,23.0,
11600,1860.2,20.7,210.2,121.1,623.0,2507.0,23.0,
11700,1860.9,23.4,197.7,121.1,623.0,2507.0,23.0,
11900,1857.7,20.0,128.7,119.1,623.0,2507.0,23.0,
12000,1859.3,22.1,69.5,121.1,623.0,2507.0,23.0,
12100,1874.4,71.1,40.1,121.1,623.0,2507.0,23.0,
12200,1853.1,129.7,72.5,119.1,623.0,2507.0,23.0,
12300,1867.2,228.2,109.9,97.7,623.0,2507.0,23.0,
12400,1864.1,217.8,147.3,97.7,974.0,3028.0,30.0,
12500,1866.2,188.0,180.0,97.7,974.0,3028.0,30.0,
12600,1853.1,157.4,216.4,97.7,887.0,2870.0,30.0,
12700,1863.0,36.6,224.5,97.7,887.0,2870.0,30.0,
12900,1859.4,20.9,224.4,97.7,887.0,2870.0,30.0,
13000,1859.4,21.4,224.4,97.7,887.0,2870.0,30.0,
13100,1857.5,20.6,222.5,119.1,887.0,2870.0,30.0,
13200,1859.7,21.2,214.1,121.1,887.0,2870.0,30.0,
13300,1859.9,25.3,197.5,121.1,887.0,2870.0,30.0,
13400,1858.2,21.6,171.5,121.1,887.0,2870.0,30.0,
13500,1861.4,22.3,136.8,121.1,887.0,2870.0,30.0,
