Time(ms),ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,Marker
0,3.4,0.0,95.7,0.0,0.0,0.0,
100,2.9,0.0,95.7,0.0,0.0,0.0,
200,3.2,0.0,95.7,0.0,0.0,0.0,
300,2.9,0.0,95.7,0.0,0.0,0.0,
400,2.9,0.0,95.7,0.0,0.0,0.0,
501,2.3,0.0,68.4,0.0,0.0,0.0,
601,2.8,0.0,68.4,0.0,0.0,0.0,
701,3.1,0.0,76.2,0.0,0.0,0.0,
801,108.2,0.0,134.8,552.0,2867.0,9.0,
901,126.9,107.5,85.9,514.0,2393.0,8.0,
1001,146.2,128.1,66.4,449.0,2265.0,8.0,
1101,137.1,143.7,66.4,449.0,2265.0,8.0,
1201,128.1,160.8,64.5,449.0,2265.0,8.0,
1301,103.5,172.3,64.5,449.0,2265.0,8.0,
1401,16.0,175.7,64.5,449.0,2265.0,8.0,
1501,8.4,175.8,66.4,449.0,2265.0,8.0,
1602,3.6,175.8,70.3,449.0,2265.0,8.0,
1802,3.1,158.0,74.2,449.0,2265.0,8.0,
1902,2.6,139.1,87.9,449.0,2265.0,8.0,
2002,2.4,120.4,101.6,449.0,2265.0,8.0,
2102,2.7,101.3,99.6,449.0,2265.0,8.0,
2202,2.7,71.1,101.6,449.0,2265.0,8.0,
2302,3.1,34.8,99.6,449.0,2265.0,8.0,
2402,133.4,51.3,95.7,449.0,2265.0,8.0,
2502,119.6,83.3,93.8,449.0,2265.0,8.0,
2602,89.2,100.7,95.7,449.0,2265.0,8.0,
2802,152.1,128.0,66.4,449.0,2265.0,8.0,
2902,131.8,151.3,64.5,506.0,2389.0,8.0,
3002,24.0,159.0,64.5,508.0,2456.0,8.0,
3102,5.7,159.0,64.5,508.0,2456.0,8.0,
3202,3.0,159.0,66.4,508.0,2456.0,8.0,
3302,3.0,159.0,66.4,508.0,2456.0,8.0,
3402,2.7,150.5,68.4,508.0,2456.0,8.0,
3502,2.8,135.5,76.2,508.0,2456.0,8.0,
3602,2.8,123.1,76.2,508.0,2456.0,8.0,
3802,13.3,95.5,64.5,508.0,2456.0,8.0,
3902,3.7,51.3,58.6,508.0,2456.0,8.0,
4002,135.2,69.0,62.5,585.0,2961.0,9.0,
4102,160.9,104.7,70.3,558.0,2509.0,8.0,
4202,135.9,134.8,68.4,493.0,2488.0,8.0,
4302,109.5,155.4,66.4,445.0,2284.0,8.0,
4402,129.4,171.2,66.4,434.0,2337.0,7.0,
4502,149.3,183.7,66.4,434.0,2337.0,7.0,
4602,26.6,191.2,66.4,434.0,2337.0,7.0,
4802,6.2,190.6,66.4,434.0,2337.0,7.0,
4902,6.2,190.6,64.5,434.0,2337.0,7.0,
5002,5.4,178.4,66.4,434.0,2337.0,7.0,
5102,5.4,160.0,72.3,434.0,2337.0,7.0,
5202,5.4,135.7,78.1,434.0,2337.0,7.0,
5302,6.6,111.6,82.0,434.0,2337.0,7.0,
5402,5.4,85.2,78.1,434.0,2337.0,7.0,
5502,4.3,53.3,72.3,434.0,2337.0,7.0,
5602,96.1,48.2,74.2,434.0,2337.0,7.0,
5802,123.9,94.0,68.4,434.0,2337.0,7.0,
5902,123.5,105.5,66.4,434.0,2337.0,7.0,
6002,113.8,122.3,64.5,434.0,2337.0,7.0,
6102,133.5,141.5,64.5,489.0,2318.0,8.0,
6202,37.4,154.6,64.5,472.0,2324.0,8.0,
6302,4.9,154.6,64.5,472.0,2324.0,8.0,
6402,3.5,154.5,66.4,472.0,2324.0,8.0,
6502,2.6,154.5,66.4,472.0,2324.0,8.0,
6602,2.8,147.0,68.4,472.0,2324.0,8.0,
6802,2.6,122.9,111.3,472.0,2324.0,8.0,
6902,3.1,113.1,107.4,472.0,2324.0,8.0,
7002,2.7,94.6,78.1,472.0,2324.0,8.0,
7102,2.9,62.4,66.4,472.0,2324.0,8.0,
7202,136.4,49.1,80.1,616.0,3036.0,9.0,
7302,122.7,99.6,74.2,525.0,2333.0,8.0,
7402,97.6,124.2,68.4,446.0,2247.0,8.0,
7502,127.4,141.6,66.4,409.0,2250.0,7.0,
7602,141.0,155.1,66.4,409.0,2250.0,7.0,
7802,43.9,176.3,64.5,409.0,2250.0,7.0,
7902,6.2,176.3,66.4,409.0,2250.0,7.0,
8002,3.6,176.3,93.8,409.0,2250.0,7.0,
8102,3.1,176.3,93.8,409.0,2250.0,7.0,
8202,2.7,169.4,84.0,409.0,2250.0,7.0,
8302,2.8,145.6,91.8,409.0,2250.0,7.0,
8402,3.7,125.2,99.6,409.0,2250.0,7.0,
8502,2.4,105.1,99.6,409.0,2250.0,7.0,
8602,2.8,83.9,89.8,409.0,2250.0,7.0,
8802,106.7,36.7,76.2,409.0,2250.0,7.0,
8902,138.5,64.6,68.4,409.0,2250.0,7.0,
9002,117.4,83.6,66.4,409.0,2250.0,7.0,
9102,104.2,104.4,64.5,409.0,2250.0,7.0,
9202,129.8,123.1,64.5,409.0,2250.0,7.0,
9302,153.6,142.8,64.5,508.0,2282.0,8.0,
9402,64.1,161.6,64.5,476.0,2281.0,8.0,
9502,7.0,161.6,66.4,476.0,2281.0,8.0,
9602,2.3,161.6,66.4,476.0,2281.0,8.0,
9802,2.6,157.5,70.3,476.0,2281.0,8.0,
9902,3.1,148.2,85.9,476.0,2281.0,8.0,
10002,2.9,138.4,82.0,476.0,2281.0,8.0,
10102,2.9,123.5,66.4,476.0,2281.0,8.0,
10202,2.5,104.8,68.4,476.0,2281.0,8.0,
10302,6.4,75.9,80.1,476.0,2281.0,8.0,
10402,85.1,42.3,185.5,476.0,2281.0,8.0,
10502,135.5,93.1,127.0,516.0,2279.0,8.0,
10602,159.6,121.8,74.2,474.0,2502.0,8.0,
10802,118.5,162.7,66.4,388.0,2276.0,7.0,
10902,97.4,176.7,66.4,388.0,2276.0,7.0,
11002,75.8,187.1,66.4,388.0,2276.0,7.0,
11102,7.2,187.1,64.5,388.0,2276.0,7.0,
11202,3.6,187.1,64.5,388.0,2276.0,7.0,
11302,3.4,187.1,66.4,388.0,2276.0,7.0,
11402,4.0,182.3,66.4,388.0,2276.0,7.0,
11502,3.2,162.4,89.8,388.0,2276.0,7.0,
11602,2.9,142.1,115.2,388.0,2276.0,7.0,
11802,2.9,92.4,99.6,388.0,2276.0,7.0,
11902,2.5,61.7,99.6,388.0,2276.0,7.0,
12002,96.1,5.0,99.6,388.0,2276.0,7.0,
12102,115.1,63.0,76.2,388.0,2276.0,7.0,
12202,91.5,84.3,68.4,388.0,2276.0,7.0,
12302,124.3,100.2,66.4,388.0,2276.0,7.0,
12402,155.1,119.1,64.5,388.0,2276.0,7.0,
12502,133.4,146.5,64.5,467.0,2247.0,8.0,
12602,113.8,167.6,64.5,448.0,2286.0,8.0,
12802,3.5,168.1,68.4,448.0,2286.0,8.0,
12902,3.5,168.1,74.2,448.0,2286.0,8.0,
13002,3.1,168.1,70.3,448.0,2286.0,8.0,
13102,2.6,155.9,97.7,448.0,2286.0,8.0,
13202,3.4,145.4,101.6,448.0,2286.0,8.0,
13302,2.8,135.0,101.6,448.0,2286.0,8.0,
13402,3.3,118.6,101.6,448.0,2286.0,8.0,
13502,3.8,82.4,97.7,448.0,2286.0,8.0,
13602,60.2,13.3,80.1,448.0,2286.0,8.0,
13802,134.3,109.0,66.4,529.0,2650.0,8.0,
13902,107.3,128.8,66.4,529.0,2650.0,8.0,
14002,113.9,143.0,66.4,529.0,2650.0,8.0,
14102,144.3,154.6,64.5,529.0,2650.0,8.0,
14202,138.2,165.6,64.5,529.0,2650.0,8.0,
14302,10.9,169.2,95.7,529.0,2650.0,8.0,
14402,5.0,169.2,97.7,529.0,2650.0,8.0,
14502,3.0,169.2,97.7,529.0,2650.0,8.0,
14602,2.9,169.2,97.7,529.0,2650.0,8.0,
14802,3.1,129.5,82.0,529.0,2650.0,8.0,
14902,2.7,109.8,91.8,529.0,2650.0,8.0,
15002,3.1,90.4,93.8,529.0,2650.0,8.0,
15102,3.1,68.7,91.8,529.0,2650.0,8.0,
15202,2.9,34.6,91.8,529.0,2650.0,8.0,
15302,96.3,51.4,62.5,529.0,2650.0,8.0,
15402,134.6,74.2,62.5,529.0,2650.0,8.0,
15502,141.5,92.4,64.5,529.0,2650.0,8.0,
15602,116.8,115.7,64.5,529.0,2650.0,8.0,
15802,138.3,156.9,64.5,473.0,2183.0,8.0,
15902,14.7,162.8,66.4,473.0,2183.0,8.0,
16002,3.6,162.8,68.4,473.0,2183.0,8.0,
16102,3.0,162.8,84.0,473.0,2183.0,8.0,
16202,3.0,162.8,72.3,473.0,2183.0,8.0,
16302,3.7,154.6,74.2,473.0,2183.0,8.0,
16402,3.4,145.0,107.4,473.0,2183.0,8.0,
16502,3.4,134.2,121.1,473.0,2183.0,8.0,
16602,3.0,114.7,121.1,473.0,2183.0,8.0,
16802,3.8,43.8,105.5,473.0,2183.0,8.0,
16902,122.5,77.6,130.9,581.0,2897.0,9.0,
17002,108.8,111.1,84.0,529.0,2440.0,8.0,
17102,132.3,133.2,68.4,431.0,2184.0,8.0,
17202,146.1,150.1,66.4,390.0,2145.0,7.0,
17302,122.9,165.4,66.4,390.0,2145.0,7.0,
17402,102.4,177.2,66.4,390.0,2145.0,7.0,
17502,18.5,180.8,64.5,390.0,2145.0,7.0,
17602,4.3,180.8,64.5,390.0,2145.0,7.0,
17802,3.2,180.8,66.4,390.0,2145.0,7.0,
17902,3.2,163.4,70.3,390.0,2145.0,7.0,
18002,3.3,142.7,99.6,390.0,2145.0,7.0,
18102,3.4,122.4,101.6,390.0,2145.0,7.0,
18202,2.8,100.9,95.7,390.0,2145.0,7.0,
18302,3.2,73.2,93.8,390.0,2145.0,7.0,
18402,4.1,36.1,89.8,390.0,2145.0,7.0,
18502,142.2,52.0,91.8,390.0,2145.0,7.0,
18602,126.0,78.9,85.9,390.0,2145.0,7.0,
18802,112.7,109.8,66.4,390.0,2145.0,7.0,
18902,147.7,125.4,64.5,390.0,2145.0,7.0,
19002,149.1,144.2,64.5,537.0,2319.0,8.0,
19102,23.7,156.6,64.5,518.0,2301.0,8.0,
19202,5.5,156.6,66.4,518.0,2301.0,8.0,
19302,3.3,156.6,66.4,518.0,2301.0,8.0,
19402,3.1,156.6,68.4,518.0,2301.0,8.0,
19502,3.9,147.7,70.3,518.0,2301.0,8.0,
19602,3.5,135.3,91.8,518.0,2301.0,8.0,
19802,3.7,111.7,80.1,518.0,2301.0,8.0,
19902,3.3,93.8,93.8,518.0,2301.0,8.0,
20002,3.6,61.3,99.6,518.0,2301.0,8.0,
20102,133.5,67.8,91.8,598.0,2963.0,9.0,
20202,150.5,103.6,72.3,551.0,2375.0,8.0,
20302,147.0,128.1,68.4,509.0,2256.0,8.0,
20402,120.2,150.8,66.4,399.0,2157.0,7.0,
20502,97.0,166.4,87.9,406.0,2177.0,7.0,
20602,121.5,178.2,66.4,406.0,2177.0,7.0,
20802,5.7,185.0,66.4,406.0,2177.0,7.0,
20902,3.4,185.0,66.4,406.0,2177.0,7.0,
21002,4.4,185.0,66.4,406.0,2177.0,7.0,
21102,4.1,172.2,66.4,406.0,2177.0,7.0,
21202,4.0,153.3,111.3,406.0,2177.0,7.0,
21302,4.3,133.5,130.9,406.0,2177.0,7.0,
21402,3.5,107.2,105.5,406.0,2177.0,7.0,
21502,3.9,81.0,66.4,406.0,2177.0,7.0,
21602,3.8,49.9,66.4,406.0,2177.0,7.0,
21802,104.9,78.6,66.4,406.0,2177.0,7.0,
21902,128.3,99.5,66.4,406.0,2177.0,7.0,
22002,131.9,112.9,66.4,406.0,2177.0,7.0,
22102,120.5,126.3,95.7,406.0,2177.0,7.0,
22202,103.4,138.2,66.4,406.0,2177.0,7.0,
22302,39.5,147.7,64.5,406.0,2177.0,7.0,
22402,6.2,147.7,64.5,406.0,2177.0,7.0,
22502,3.6,147.7,64.5,406.0,2177.0,7.0,
22602,3.7,147.7,64.5,406.0,2177.0,7.0,
22802,3.6,125.1,107.4,406.0,2177.0,7.0,
22902,4.1,109.3,99.6,406.0,2177.0,7.0,
23002,3.7,95.3,76.2,406.0,2177.0,7.0,
23102,3.8,76.8,80.1,406.0,2177.0,7.0,
23202,3.8,52.4,68.4,406.0,2177.0,7.0,
23302,138.7,42.3,62.5,406.0,2177.0,7.0,
23402,145.1,92.4,66.4,573.0,2383.0,8.0,
