Time(ms),Raw_ADC,ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,MW_Valid,Marker
0,1893.0,200.0,0.0,0.0,748.0,2755.0,5.0,0,
100,1888.4,96.7,0.0,0.0,817.0,2083.0,5.0,0,
200,1878.4,127.5,0.0,0.0,689.0,1854.0,5.0,0,
300,1837.3,201.3,0.0,0.0,630.0,1806.0,5.0,0,
400,1884.5,31.9,0.0,0.0,630.0,1806.0,5.0,0,
500,1864.5,19.9,0.0,158.2,630.0,1806.0,5.0,0,
600,1862.8,20.5,0.0,144.5,630.0,1806.0,5.0,0,
700,1863.0,20.0,0.0,144.5,630.0,1806.0,5.0,0,
800,1862.8,20.6,0.0,146.5,630.0,1806.0,5.0,0,
900,1863.0,20.6,223.5,148.4,630.0,1806.0,5.0,0,
1000,1862.9,19.4,193.2,66.4,630.0,1806.0,5.0,0,
1100,1863.7,19.8,162.0,66.4,630.0,1806.0,5.0,0,
1200,1862.9,19.8,150.0,66.4,630.0,1806.0,5.0,0,
1300,1863.1,19.9,107.9,93.8,630.0,1806.0,5.0,0,
1400,1862.3,140.8,22.3,74.2,464.0,1289.0,5.0,0,
1500,1867.4,133.8,68.1,136.7,536.0,1672.0,5.0,0,
1600,1851.3,114.9,117.0,142.6,1185.0,2313.0,30.0,0,
1700,1876.0,120.1,144.1,144.5,894.0,2353.0,5.0,0,
1900,1851.0,128.0,202.3,144.5,818.0,2137.0,5.0,0,
2000,1869.0,36.2,212.6,144.5,966.0,2517.0,5.0,0,
2100,1868.5,15.7,223.5,160.2,966.0,2517.0,5.0,0,
2200,1862.2,14.3,223.5,158.2,966.0,2517.0,5.0,0,
2300,1862.2,14.1,223.4,158.2,966.0,2517.0,5.0,0,
2400,1863.3,14.2,223.4,162.1,966.0,2517.0,5.0,0,
2500,1862.0,14.5,213.8,164.1,966.0,2517.0,5.0,0,
2600,1861.7,13.4,191.4,127.0,966.0,2517.0,5.0,0,
2700,1862.4,14.7,171.9,130.9,966.0,2517.0,5.0,0,
2900,1863.0,13.8,96.7,87.9,966.0,2517.0,5.0,0,
3000,1862.5,76.8,71.0,89.8,498.0,1298.0,5.0,0,
3100,1860.0,70.2,48.7,134.8,577.0,1614.0,5.0,0,
3200,1853.8,158.1,108.1,142.6,750.0,2201.0,5.0,0,
3300,1877.3,192.0,132.4,158.2,892.0,2281.0,5.0,0,
3400,1846.8,122.0,164.0,160.2,1223.0,2651.0,30.0,0,
3500,1873.8,125.8,184.1,146.5,790.0,2096.0,5.0,0,
3600,1854.8,58.7,205.3,144.5,769.0,2091.0,30.0,0,
3700,1873.1,17.2,218.1,146.5,769.0,2091.0,30.0,0,
3900,1864.6,15.1,218.1,156.3,769.0,2091.0,30.0,0,
4000,1864.2,14.0,218.1,160.2,769.0,2091.0,30.0,0,
4100,1863.4,13.5,213.2,166.0,769.0,2091.0,30.0,0,
4200,1864.4,14.7,190.0,95.7,769.0,2091.0,30.0,0,
4300,1864.6,14.1,174.0,99.6,769.0,2091.0,30.0,0,
4400,1863.7,13.7,144.7,99.6,769.0,2091.0,30.0,0,
4500,1864.4,15.6,118.1,101.6,769.0,2091.0,30.0,0,
4600,1864.0,69.1,75.3,97.7,537.0,1332.0,5.0,0,
4700,1866.0,94.8,49.3,168.0,545.0,1676.0,5.0,0,
4900,1869.5,109.5,128.4,164.1,740.0,2188.0,5.0,0,
5000,1862.3,136.1,157.1,160.2,1253.0,2693.0,30.0,0,
5100,1858.3,162.4,184.1,144.5,849.0,2534.0,5.0,0,
5200,1873.0,94.4,208.5,142.6,1017.0,2487.0,5.0,0,
5300,1874.9,18.1,221.4,144.5,1017.0,2487.0,5.0,0,
5400,1863.0,16.0,221.4,158.2,1017.0,2487.0,5.0,0,
5500,1864.9,14.2,221.4,158.2,1017.0,2487.0,5.0,0,
5600,1863.8,13.5,221.4,160.2,1017.0,2487.0,5.0,0,
5700,1864.1,15.0,216.4,160.2,1017.0,2487.0,5.0,0,
5900,1863.7,13.6,181.1,127.0,1017.0,2487.0,5.0,0,
6000,1862.7,13.7,156.8,125.0,1017.0,2487.0,5.0,0,
6100,1864.1,14.0,123.9,123.0,1017.0,2487.0,5.0,0,
6200,1863.6,36.6,76.0,113.3,1017.0,2487.0,5.0,0,
6300,1855.3,128.4,21.1,130.9,622.0,1940.0,5.0,0,
6400,1878.0,89.2,84.2,148.4,517.0,1607.0,5.0,0,
6500,1852.6,129.7,112.1,160.2,716.0,1988.0,5.0,0,
6600,1877.3,215.5,153.5,160.2,1310.0,2777.0,30.0,0,
6700,1863.4,132.4,184.6,144.5,659.0,1887.0,5.0,0,
6900,1876.3,21.9,224.6,144.5,659.0,1887.0,5.0,0,
7000,1864.7,14.8,224.6,144.5,659.0,1887.0,5.0,0,
7100,1864.1,13.5,224.6,144.5,659.0,1887.0,5.0,0,
7200,1865.1,14.4,224.6,158.2,659.0,1887.0,5.0,0,
7300,1863.5,13.8,224.2,166.0,659.0,1887.0,5.0,0,
7400,1863.5,14.5,208.9,123.0,659.0,1887.0,5.0,0,
7500,1863.0,14.1,195.3,134.8,659.0,1887.0,5.0,0,
7600,1862.9,14.2,164.8,117.2,659.0,1887.0,5.0,0,
7700,1863.1,13.1,128.9,68.4,659.0,1887.0,5.0,0,
7900,1862.2,58.4,16.0,66.4,494.0,1315.0,5.0,0,
8000,1860.7,96.9,79.6,144.5,538.0,1744.0,5.0,0,
8100,1860.0,192.8,112.6,146.5,1011.0,2550.0,5.0,0,
8200,1868.0,158.5,147.4,158.2,853.0,2251.0,5.0,0,
8300,1856.7,150.7,168.7,144.5,623.0,1885.0,5.0,0,
8400,1874.3,117.3,197.4,142.6,805.0,2163.0,5.0,0,
8500,1869.3,29.8,221.0,144.5,1201.0,2897.0,30.0,0,
8600,1865.3,14.9,222.8,144.5,1201.0,2897.0,30.0,0,
8700,1863.8,14.4,222.8,144.5,1201.0,2897.0,30.0,0,
8900,1862.1,14.1,222.8,173.8,1201.0,2897.0,30.0,0,
9000,1863.0,14.5,208.7,205.1,1201.0,2897.0,30.0,0,
9100,1862.7,13.3,192.9,89.8,1201.0,2897.0,30.0,0,
9200,1863.3,14.0,167.9,91.8,1201.0,2897.0,30.0,0,
9300,1863.2,14.1,146.4,123.0,1201.0,2897.0,30.0,0,
9400,1864.0,13.6,104.6,105.5,1201.0,2897.0,30.0,0,
9500,1862.6,156.9,32.4,99.6,462.0,1252.0,5.0,0,
9600,1868.1,176.9,68.5,123.0,564.0,1694.0,5.0,0,
9700,1854.9,111.3,119.2,128.9,795.0,2326.0,5.0,0,
9900,1833.3,171.1,168.3,142.6,689.0,2204.0,5.0,0,
10000,1891.9,128.9,196.9,142.6,792.0,2278.0,5.0,0,
10100,1852.8,40.1,207.9,144.5,1086.0,2447.0,30.0,0,
10200,1876.5,13.9,218.4,144.5,1086.0,2447.0,30.0,0,
10300,1862.8,14.2,218.4,146.5,1086.0,2447.0,30.0,0,
10400,1863.9,13.5,218.4,160.2,1086.0,2447.0,30.0,0,
10500,1863.7,14.1,218.4,175.8,1086.0,2447.0,30.0,0,
10600,1864.0,14.3,208.0,191.4,1086.0,2447.0,30.0,0,
10700,1863.6,14.0,183.7,99.6,1086.0,2447.0,30.0,0,
10900,1863.3,14.1,140.1,68.4,1086.0,2447.0,30.0,0,
11000,1863.4,15.2,95.7,87.9,1086.0,2447.0,30.0,0,
11100,1864.7,101.9,68.7,111.3,517.0,1310.0,5.0,0,
11200,1852.0,74.8,57.9,138.7,890.0,2176.0,30.0,0,
11300,1875.3,110.5,87.9,144.5,790.0,2183.0,5.0,0,
11400,1871.7,195.1,128.3,166.0,791.0,2280.0,5.0,0,
11500,1845.5,127.9,165.9,160.2,834.0,2139.0,5.0,0,
11600,1873.0,161.4,177.2,144.5,814.0,2390.0,5.0,0,
11700,1853.5,68.4,203.6,144.5,1249.0,2917.0,30.0,0,
11900,1862.5,14.5,217.7,144.5,1249.0,2917.0,30.0,0,
12000,1864.2,14.3,217.7,158.2,1249.0,2917.0,30.0,0,
12100,1863.3,13.8,217.7,171.9,1249.0,2917.0,30.0,0,
12200,1863.5,15.2,210.4,187.5,1249.0,2917.0,30.0,0,
12300,1863.3,13.8,199.8,99.6,1249.0,2917.0,30.0,0,
12400,1863.6,13.6,176.6,99.6,1249.0,2917.0,30.0,0,
12500,1862.9,13.7,141.9,91.8,1249.0,2917.0,30.0,0,
12600,1863.2,14.6,127.4,82.0,1249.0,2917.0,30.0,0,
12700,1863.8,27.0,78.7,97.7,1249.0,2917.0,30.0,0,
12900,1894.0,186.0,94.7,146.5,728.0,2047.0,5.0,0,
13000,1845.8,114.9,131.9,158.2,1011.0,2585.0,30.0,0,
13100,1871.3,133.7,151.6,158.2,798.0,2388.0,5.0,0,
13200,1856.3,88.9,177.0,144.5,798.0,2246.0,5.0,0,
13300,1861.1,100.7,202.9,144.5,873.0,2543.0,5.0,0,
13400,1874.6,17.5,213.4,144.5,873.0,2543.0,5.0,0,
13500,1863.4,14.2,213.4,144.5,873.0,2543.0,5.0,0,
13600,1864.8,14.6,213.4,144.5,873.0,2543.0,5.0,0,
13700,1864.0,13.6,213.5,142.6,873.0,2543.0,5.0,0,
13900,1864.3,14.0,192.0,68.4,873.0,2543.0,5.0,0,
14000,1863.1,14.0,168.6,101.6,873.0,2543.0,5.0,0,
14100,1862.9,14.4,151.1,127.0,873.0,2543.0,5.0,0,
14200,1863.3,14.1,120.4,99.6,873.0,2543.0,5.0,0,
14300,1863.8,25.8,68.2,78.1,873.0,2543.0,5.0,0,
14400,1855.2,150.0,20.3,82.0,504.0,1360.0,5.0,0,
14500,1863.0,102.8,86.7,146.5,592.0,1915.0,5.0,0,
14600,1859.0,155.0,119.1,156.3,1312.0,2909.0,30.0,0,
14700,1856.8,146.3,162.0,150.4,862.0,2453.0,5.0,0,
14900,1864.9,174.2,206.9,142.6,877.0,2403.0,5.0,0,rest_end
15000,1857.5,21.8,226.9,130.9,877.0,2403.0,5.0,0,
15100,1867.1,14.3,226.9,130.9,877.0,2403.0,5.0,0,
15200,1863.3,14.5,226.9,142.6,877.0,2403.0,5.0,0,
15300,1863.2,13.6,226.9,130.9,877.0,2403.0,5.0,0,
15400,1863.3,13.5,226.6,128.9,877.0,2403.0,5.0,0,
15500,1862.7,13.8,210.3,87.9,877.0,2403.0,5.0,0,
15600,1862.5,13.1,193.8,123.0,877.0,2403.0,5.0,0,
15700,1863.1,13.3,159.6,101.6,877.0,2403.0,5.0,0,
15900,1863.5,13.7,94.6,99.6,877.0,2403.0,5.0,0,
16000,1863.3,66.3,16.3,89.8,459.0,1204.0,5.0,0,
16100,1847.4,106.0,68.0,156.3,637.0,1871.0,5.0,0,
16200,1872.0,229.5,109.6,150.4,1186.0,3046.0,30.0,0,
16300,1866.0,145.2,152.1,146.5,680.0,2197.0,5.0,0,
16400,1854.2,165.6,176.2,144.5,1275.0,3001.0,30.0,0,
16500,1878.3,106.2,199.4,128.9,741.0,2370.0,5.0,0,
16600,1851.4,29.6,214.7,128.9,805.0,2556.0,5.0,0,
16700,1864.6,14.4,221.7,144.5,805.0,2556.0,5.0,0,
16900,1865.0,12.5,221.7,128.9,805.0,2556.0,5.0,0,
17000,1864.8,17.9,221.7,125.0,805.0,2556.0,5.0,0,
17100,1862.5,13.8,211.7,93.8,805.0,2556.0,5.0,0,
17200,1864.4,14.8,193.5,64.5,805.0,2556.0,5.0,0,
17300,1863.1,15.3,162.1,62.5,805.0,2556.0,5.0,0,
17400,1864.7,15.9,135.7,62.5,805.0,2556.0,5.0,0,
17500,1863.5,13.8,98.5,68.4,805.0,2556.0,5.0,0,
17600,1863.0,97.2,57.9,62.5,689.0,1849.0,5.0,0,
17700,1858.6,218.2,82.1,140.6,785.0,2581.0,30.0,0,
17900,1848.4,157.4,154.7,128.9,893.0,2884.0,5.0,0,
18000,1882.1,98.1,180.2,128.9,836.0,2607.0,5.0,0,
18100,1853.5,129.0,201.0,128.9,748.0,2457.0,5.0,0,
18200,1864.3,48.2,223.1,130.9,774.0,2614.0,5.0,0,
18300,1860.6,15.3,231.9,128.9,774.0,2614.0,5.0,0,
18400,1863.3,14.0,231.9,128.9,774.0,2614.0,5.0,0,
18500,1863.9,13.5,231.9,128.9,774.0,2614.0,5.0,0,
18600,1863.6,14.1,231.9,130.9,774.0,2614.0,5.0,0,
18700,1863.6,13.2,217.6,128.9,774.0,2614.0,5.0,0,
18900,1864.0,14.0,173.6,97.7,774.0,2614.0,5.0,0,
19000,1863.2,14.4,147.0,99.6,774.0,2614.0,5.0,0,
19100,1863.4,14.0,116.8,101.6,774.0,2614.0,5.0,0,
19200,1862.9,161.7,65.4,68.4,441.0,1337.0,5.0,0,
19300,1860.0,118.1,86.1,87.9,687.0,2135.0,5.0,0,
19400,1858.5,140.4,111.4,113.3,658.0,2127.0,5.0,0,
19500,1851.5,182.5,150.2,128.9,1201.0,2850.0,30.0,0,
19600,1901.5,140.8,179.7,144.5,721.0,2481.0,5.0,0,
19700,1836.6,191.4,197.8,144.5,922.0,2833.0,5.0,0,
19900,1859.9,19.1,230.3,128.9,922.0,2833.0,5.0,0,
20000,1863.6,15.3,230.3,142.6,922.0,2833.0,5.0,0,
20100,1864.1,16.5,230.3,144.5,922.0,2833.0,5.0,0,
20200,1864.9,14.7,230.3,142.6,922.0,2833.0,5.0,0,
20300,1863.3,14.1,214.3,136.7,922.0,2833.0,5.0,0,
20400,1863.3,12.8,202.3,78.1,922.0,2833.0,5.0,0,
20500,1864.4,14.0,175.4,76.2,922.0,2833.0,5.0,0,
20600,1864.3,13.8,144.9,74.2,922.0,2833.0,5.0,0,
20700,1862.9,13.8,119.1,78.1,922.0,2833.0,5.0,0,
20900,1872.3,112.4,23.5,115.2,566.0,1872.0,5.0,0,
21000,1845.1,219.5,99.4,175.8,654.0,2110.0,5.0,0,
21100,1874.6,190.1,145.0,173.8,650.0,2195.0,5.0,0,
21200,1850.3,208.9,167.1,144.5,861.0,2820.0,5.0,0,
21300,1876.2,136.6,200.5,128.9,823.0,2842.0,5.0,0,
21400,1858.1,141.8,215.1,128.9,749.0,2402.0,5.0,0,
21500,1867.6,19.2,239.9,128.9,749.0,2402.0,5.0,0,
21600,1865.4,12.9,239.9,142.6,749.0,2402.0,5.0,0,
21700,1863.7,12.8,239.9,144.5,749.0,2402.0,5.0,0,
21900,1863.6,13.4,239.4,134.8,749.0,2402.0,5.0,0,
22000,1862.7,13.1,219.0,78.1,749.0,2402.0,5.0,0,
22100,1863.3,14.5,191.8,97.7,749.0,2402.0,5.0,0,
22200,1863.2,12.7,172.9,66.4,749.0,2402.0,5.0,0,
22300,1863.2,13.3,132.6,87.9,749.0,2402.0,5.0,0,
22400,1863.8,63.7,107.5,99.6,749.0,2402.0,5.0,0,
22500,1867.5,185.8,38.5,68.4,602.0,1989.0,5.0,0,
22600,1858.9,122.8,105.7,150.4,611.0,1911.0,5.0,0,
22700,1868.4,162.2,121.6,175.8,788.0,2706.0,5.0,0,
22900,1867.7,127.9,183.9,144.5,830.0,2627.0,5.0,0,
23000,1862.1,230.8,204.6,130.9,709.0,2399.0,5.0,0,
23100,1866.6,24.6,229.9,130.9,709.0,2399.0,5.0,0,
23200,1870.6,14.4,230.0,142.6,709.0,2399.0,5.0,0,
23300,1863.6,14.0,230.0,130.9,709.0,2399.0,5.0,0,
23400,1864.5,12.6,230.0,134.8,709.0,2399.0,5.0,0,
23500,1863.3,13.8,227.2,136.7,709.0,2399.0,5.0,0,
23600,1863.2,14.2,204.8,99.6,709.0,2399.0,5.0,0,
23700,1864.1,13.7,195.8,87.9,709.0,2399.0,5.0,0,
23900,1862.7,14.3,138.9,70.3,709.0,2399.0,5.0,0,
24000,1864.0,13.7,106.2,62.5,709.0,2399.0,5.0,0,
24100,1864.1,121.4,16.5,62.5,862.0,1804.0,30.0,0,
24200,1874.7,131.9,78.2,105.5,629.0,2389.0,5.0,0,
24300,1856.5,156.1,121.5,136.7,894.0,2634.0,5.0,0,
24400,1875.4,136.3,162.0,142.6,821.0,2860.0,5.0,0,
