Time(ms),ENV_Value,Marker
0,42.0,
100,42.3,
200,41.7,
300,42.3,
400,41.2,
500,41.5,
600,41.5,
700,41.6,
800,42.0,
900,42.1,
1000,41.5,
1100,41.3,
1200,41.3,
1300,41.3,
1400,41.6,
1500,41.4,
1600,41.5,
1700,41.9,
1800,41.9,
1900,41.5,
2000,41.5,
2100,42.4,
2200,41.7,
2300,41.5,
2400,41.2,
2500,41.7,
2600,41.5,
2700,42.2,
2800,41.7,
2900,41.7,
3000,42.7,
3100,41.8,
3200,41.8,
3300,41.4,
3400,42.1,
3500,41.7,
3600,46.5,
3700,40.0,
3800,42.8,
3900,41.0,
4000,43.6,
4100,41.7,
4200,45.3,
4300,42.9,
4400,41.7,
4500,47.9,
4600,41.6,
4700,43.6,
4800,42.1,
4900,41.8,
5000,41.8,
5100,42.6,
5200,41.3,
5300,41.6,
5400,42.6,
5500,41.9,
5600,41.4,
5700,42.4,
5800,41.5,
5900,40.9,
6000,42.2,
6100,41.5,
6200,41.3,
6300,42.3,
6400,40.5,
6500,41.0,
6600,42.0,
6700,41.0,
6800,41.5,
6900,41.8,
7000,41.3,
7100,41.4,
7200,40.3,
7300,41.1,
7400,42.0,
7500,42.2,
7600,41.1,
7700,41.1,
7800,41.5,
7900,40.9,
8000,40.4,
8100,42.2,
8200,39.8,
8300,40.2,
8400,40.1,
8500,39.8,
8600,40.7,
8700,41.5,
8800,40.9,
8900,43.7,
9000,42.3,
9100,41.3,
9200,43.3,
9300,42.8,
9400,42.6,
9500,42.8,
9600,42.2,
9700,40.0,
9800,40.8,
9900,41.8,
10000,41.6,
10100,41.3,
10200,41.2,
10300,39.4,
10400,39.3,
10500,41.0,
10600,47.6,
10700,42.7,
10800,48.3,
10900,43.9,
11000,51.4,
11100,57.2,
11200,44.6,
11300,53.7,
11400,53.4,
11500,49.1,
11600,47.6,
11700,38.4,
11800,41.4,
11900,40.8,
12000,41.1,
12100,40.5,
12200,40.0,
12300,40.9,
12400,41.9,
12500,41.4,
12600,41.4,
12700,41.7,
12800,39.5,
12900,41.0,
13000,41.4,
13100,41.7,
13200,41.2,
13300,41.2,
13400,41.4,
13500,57.9,
13600,44.8,
13700,47.6,
13800,51.9,
13900,40.8,
14000,51.2,
14100,49.9,
14200,52.4,
14300,55.2,
14400,43.6,
14500,42.4,
14600,41.7,
14700,41.6,
14800,41.9,
14900,40.8,
15000,40.9,
15100,40.6,
15200,41.9,
15300,41.6,
15400,43.1,
15500,54.2,
15600,47.9,
15700,44.7,
15800,45.3,
15900,52.6,
16000,43.2,
16100,42.1,
16200,44.6,
16300,42.0,
16400,41.6,
16500,41.6,
16600,42.4,
16700,40.5,
16800,41.5,
16900,40.9,
17000,40.5,
17100,41.8,
17200,39.1,
17300,41.6,
17400,40.8,
17500,41.6,
17600,41.3,
17700,42.0,
17800,41.9,
17900,39.4,
18000,45.5,
18100,49.3,
18200,41.8,
18300,38.2,
18400,42.6,
18500,41.5,
18600,42.1,
18700,41.1,
18800,41.3,
18900,42.3,
19000,41.4,
19100,41.3,
19200,41.8,
19300,41.2,
19400,41.5,
19600,41.5,
19700,41.1,
19800,42.2,
19900,43.8,
20000,52.5,
20100,54.3,
20200,59.2,
20300,47.9,
20400,43.9,
20500,42.1,
20600,42.5,
20700,41.5,
20800,41.1,
20900,41.6,
21000,41.3,
21100,40.9,
21200,41.0,
21300,41.3,
21400,41.5,
21500,41.3,
21600,41.6,
21700,41.3,
21800,41.8,
21900,41.5,
22000,42.4,
22100,41.5,
22200,41.8,
22300,41.1,
22400,41.3,
22500,41.9,
22600,41.9,
22700,41.4,
22800,41.4,
22900,41.2,
23000,41.2,
23100,41.5,
23200,42.1,
23300,41.8,
23400,42.2,
23500,41.4,
23600,42.1,
23700,41.9,
23800,42.1,
23900,41.0,
24000,42.2,
24100,41.2,
24200,41.5,
24300,42.3,
24400,41.9,
24500,42.1,
24600,42.2,
24700,41.8,
24800,41.9,
24900,42.5,
25000,42.2,
