Time(ms),ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,Marker
0,2.7,0.0,0.0,0.0,0.0,0.0,
0,2.7,0.0,0.0,0.0,0.0,0.0,
100,2.2,0.0,0.0,0.0,0.0,0.0,
100,2.2,0.0,0.0,0.0,0.0,0.0,
200,2.3,0.0,66.4,0.0,0.0,0.0,
200,2.3,0.0,66.4,0.0,0.0,0.0,
300,2.7,0.0,66.4,0.0,0.0,0.0,
300,2.7,0.0,66.4,0.0,0.0,0.0,
400,2.8,0.0,62.5,0.0,0.0,0.0,
400,2.8,0.0,62.5,0.0,0.0,0.0,
500,2.3,0.0,93.8,0.0,0.0,0.0,
500,2.3,0.0,93.8,0.0,0.0,0.0,
600,3.4,0.0,132.8,0.0,0.0,0.0,
600,3.4,0.0,132.8,0.0,0.0,0.0,
700,2.4,0.0,101.6,0.0,0.0,0.0,
700,2.4,0.0,101.6,0.0,0.0,0.0,
800,2.1,0.0,101.6,0.0,0.0,0.0,
800,2.1,0.0,101.6,0.0,0.0,0.0,
900,3.2,3.5,89.8,0.0,0.0,0.0,
900,3.2,3.5,89.8,0.0,0.0,0.0,
1000,2.7,3.6,97.7,0.0,0.0,0.0,
1000,2.7,3.6,97.7,0.0,0.0,0.0,
1100,2.9,3.6,101.6,0.0,0.0,0.0,
1100,2.9,3.6,101.6,0.0,0.0,0.0,
1200,3.6,3.6,85.9,0.0,0.0,0.0,
1200,3.6,3.6,85.9,0.0,0.0,0.0,
1300,2.3,3.6,85.9,0.0,0.0,0.0,
1300,2.3,3.6,85.9,0.0,0.0,0.0,
1400,3.1,3.7,101.6,0.0,0.0,0.0,
1400,3.1,3.7,101.6,0.0,0.0,0.0,
1500,4.1,3.8,97.7,0.0,0.0,0.0,
1500,4.1,3.8,97.7,0.0,0.0,0.0,
1600,3.8,3.8,70.3,0.0,0.0,0.0,
1600,3.8,3.8,70.3,0.0,0.0,0.0,
1700,3.4,3.9,66.4,0.0,0.0,0.0,
1700,3.4,3.9,66.4,0.0,0.0,0.0,
1900,2.8,4.1,70.3,0.0,0.0,0.0,
1900,2.8,4.1,70.3,0.0,0.0,0.0,
2000,19.5,6.3,70.3,0.0,0.0,0.0,
2000,19.5,6.3,70.3,0.0,0.0,0.0,
2100,30.9,11.5,43.0,0.0,0.0,0.0,
2100,30.9,11.5,43.0,0.0,0.0,0.0,
2200,20.9,16.1,43.0,0.0,0.0,0.0,
2200,20.9,16.1,43.0,0.0,0.0,0.0,
2300,17.1,18.0,58.6,0.0,0.0,0.0,
2300,17.1,18.0,58.6,0.0,0.0,0.0,
2400,22.2,20.0,66.4,0.0,0.0,0.0,
2400,22.2,20.0,66.4,0.0,0.0,0.0,
2500,9.1,21.3,62.5,0.0,0.0,0.0,
2500,9.1,21.3,62.5,0.0,0.0,0.0,
2600,6.4,21.3,43.0,0.0,0.0,0.0,
2600,6.4,21.3,43.0,0.0,0.0,0.0,
2700,2.8,21.4,101.6,0.0,0.0,0.0,
2700,2.8,21.4,101.6,0.0,0.0,0.0,
2900,2.0,21.4,97.7,0.0,0.0,0.0,
2900,2.0,21.4,97.7,0.0,0.0,0.0,
3000,2.8,20.8,82.0,0.0,0.0,0.0,
3000,2.8,20.8,82.0,0.0,0.0,0.0,
3100,2.3,18.4,97.7,0.0,0.0,0.0,
3100,2.3,18.4,97.7,0.0,0.0,0.0,
3200,2.5,14.6,101.6,0.0,0.0,0.0,
3200,2.5,14.6,101.6,0.0,0.0,0.0,
3300,13.6,13.0,93.8,0.0,0.0,0.0,
3300,13.6,13.0,93.8,0.0,0.0,0.0,
3400,21.9,11.9,66.4,0.0,0.0,0.0,
3400,21.9,11.9,66.4,0.0,0.0,0.0,
3500,27.6,13.7,78.1,0.0,0.0,0.0,
3500,27.6,13.7,78.1,0.0,0.0,0.0,
3600,20.8,16.2,62.5,0.0,0.0,0.0,
3600,20.8,16.2,62.5,0.0,0.0,0.0,
3700,12.9,17.9,74.2,0.0,0.0,0.0,
3700,12.9,17.9,74.2,0.0,0.0,0.0,
3900,18.5,19.4,62.5,0.0,0.0,0.0,
3900,18.5,19.4,62.5,0.0,0.0,0.0,
4000,17.3,20.9,70.3,0.0,0.0,0.0,
4000,17.3,20.9,70.3,0.0,0.0,0.0,
4100,6.8,21.2,70.3,0.0,0.0,0.0,
4100,6.8,21.2,70.3,0.0,0.0,0.0,
4200,6.3,21.2,74.2,0.0,0.0,0.0,
4200,6.3,21.2,74.2,0.0,0.0,0.0,
4300,3.3,20.8,85.9,0.0,0.0,0.0,
4300,3.3,20.8,85.9,0.0,0.0,0.0,
4400,3.5,19.7,101.6,0.0,0.0,0.0,
4400,3.5,19.7,101.6,0.0,0.0,0.0,
4500,3.1,16.9,74.2,0.0,0.0,0.0,
4500,3.1,16.9,74.2,0.0,0.0,0.0,
4600,3.1,14.5,78.1,0.0,0.0,0.0,
4600,3.1,14.5,78.1,0.0,0.0,0.0,
4700,3.0,12.2,78.1,0.0,0.0,0.0,
4700,3.0,12.2,78.1,0.0,0.0,0.0,
4900,5.4,10.0,85.9,0.0,0.0,0.0,
4900,5.4,10.0,85.9,0.0,0.0,0.0,
5000,4.6,6.3,101.6,0.0,0.0,0.0,
5000,4.6,6.3,101.6,0.0,0.0,0.0,
5100,16.5,6.4,78.1,0.0,0.0,0.0,
5100,16.5,6.4,78.1,0.0,0.0,0.0,
5200,33.5,12.6,54.7,0.0,0.0,0.0,
5200,33.5,12.6,54.7,0.0,0.0,0.0,
5300,20.0,17.0,50.8,0.0,0.0,0.0,
5300,20.0,17.0,50.8,0.0,0.0,0.0,
5400,18.6,18.8,62.5,0.0,0.0,0.0,
5400,18.6,18.8,62.5,0.0,0.0,0.0,
5500,20.1,20.7,70.3,0.0,0.0,0.0,
5500,20.1,20.7,70.3,0.0,0.0,0.0,
5600,25.7,23.2,54.7,0.0,0.0,0.0,
5600,25.7,23.2,54.7,0.0,0.0,0.0,
5700,25.7,24.5,58.6,0.0,0.0,0.0,
5700,25.7,24.5,58.6,0.0,0.0,0.0,
5900,9.1,28.2,58.6,0.0,0.0,0.0,
5900,9.1,28.2,58.6,0.0,0.0,0.0,
6000,5.3,28.2,46.9,0.0,0.0,0.0,
6000,5.3,28.2,46.9,0.0,0.0,0.0,
6100,3.0,28.0,66.4,0.0,0.0,0.0,
6100,3.0,28.0,66.4,0.0,0.0,0.0,
6200,3.2,25.8,101.6,0.0,0.0,0.0,
6200,3.2,25.8,101.6,0.0,0.0,0.0,
6300,2.5,23.1,78.1,0.0,0.0,0.0,
6300,2.5,23.1,78.1,0.0,0.0,0.0,
6400,2.8,21.7,89.8,0.0,0.0,0.0,
6400,2.8,21.7,89.8,0.0,0.0,0.0,
6500,2.7,19.9,101.6,0.0,0.0,0.0,
6500,2.7,19.9,101.6,0.0,0.0,0.0,
6600,3.6,16.9,66.4,0.0,0.0,0.0,
6600,3.6,16.9,66.4,0.0,0.0,0.0,
6700,4.7,14.9,78.1,0.0,0.0,0.0,
6700,4.7,14.9,78.1,0.0,0.0,0.0,
6900,23.6,12.4,62.5,0.0,0.0,0.0,
6900,23.6,12.4,62.5,0.0,0.0,0.0,
7000,21.7,16.6,54.7,0.0,0.0,0.0,
7000,21.7,16.6,54.7,0.0,0.0,0.0,
7100,21.3,19.2,58.6,0.0,0.0,0.0,
7100,21.3,19.2,58.6,0.0,0.0,0.0,
7200,18.6,21.1,62.5,0.0,0.0,0.0,
7200,18.6,21.1,62.5,0.0,0.0,0.0,
7300,15.5,22.0,82.0,0.0,0.0,0.0,
7300,15.5,22.0,82.0,0.0,0.0,0.0,
7400,7.3,22.4,62.5,0.0,0.0,0.0,
7400,7.3,22.4,62.5,0.0,0.0,0.0,
7500,4.7,22.5,66.4,0.0,0.0,0.0,
7500,4.7,22.5,66.4,0.0,0.0,0.0,
7600,2.5,22.4,101.6,0.0,0.0,0.0,
7600,2.5,22.4,101.6,0.0,0.0,0.0,
7700,2.9,22.5,101.6,0.0,0.0,0.0,
7700,2.9,22.5,101.6,0.0,0.0,0.0,
7900,2.6,19.2,132.8,0.0,0.0,0.0,
7900,2.6,19.2,132.8,0.0,0.0,0.0,
8000,3.9,15.6,105.5,0.0,0.0,0.0,
8000,3.9,15.6,105.5,0.0,0.0,0.0,
8100,4.1,12.3,78.1,0.0,0.0,0.0,
8100,4.1,12.3,78.1,0.0,0.0,0.0,
8200,3.4,8.6,97.7,0.0,0.0,0.0,
8200,3.4,8.6,97.7,0.0,0.0,0.0,
8300,2.9,5.9,97.7,0.0,0.0,0.0,
8300,2.9,5.9,97.7,0.0,0.0,0.0,
8400,3.5,4.0,82.0,0.0,0.0,0.0,
8400,3.5,4.0,82.0,0.0,0.0,0.0,
8500,6.6,4.4,82.0,0.0,0.0,0.0,
8500,6.6,4.4,82.0,0.0,0.0,0.0,
8600,19.7,8.0,62.5,0.0,0.0,0.0,
8600,19.7,8.0,62.5,0.0,0.0,0.0,
8700,30.6,15.1,74.2,0.0,0.0,0.0,
8700,30.6,15.1,74.2,0.0,0.0,0.0,
8900,24.5,20.6,78.1,0.0,0.0,0.0,
8900,24.5,20.6,78.1,0.0,0.0,0.0,
9000,17.3,22.5,66.4,0.0,0.0,0.0,
9000,17.3,22.5,66.4,0.0,0.0,0.0,
9100,25.1,24.4,54.7,0.0,0.0,0.0,
9100,25.1,24.4,54.7,0.0,0.0,0.0,
9200,9.6,25.2,70.3,0.0,0.0,0.0,
9200,9.6,25.2,70.3,0.0,0.0,0.0,
9300,6.6,25.3,50.8,0.0,0.0,0.0,
9300,6.6,25.3,50.8,0.0,0.0,0.0,
9400,3.6,25.3,62.5,0.0,0.0,0.0,
9400,3.6,25.3,62.5,0.0,0.0,0.0,
9500,2.5,25.3,70.3,0.0,0.0,0.0,
9500,2.5,25.3,70.3,0.0,0.0,0.0,
9600,2.9,24.3,101.6,0.0,0.0,0.0,
9600,2.9,24.3,101.6,0.0,0.0,0.0,
9700,2.9,20.7,97.7,0.0,0.0,0.0,
9700,2.9,20.7,97.7,0.0,0.0,0.0,
9900,2.9,15.2,97.7,0.0,0.0,0.0,
9900,2.9,15.2,97.7,0.0,0.0,0.0,
10000,2.7,12.3,101.6,0.0,0.0,0.0,
10000,2.7,12.3,101.6,0.0,0.0,0.0,
10100,2.8,7.6,85.9,0.0,0.0,0.0,
10100,2.8,7.6,85.9,0.0,0.0,0.0,
10200,15.7,6.2,74.2,0.0,0.0,0.0,
10200,15.7,6.2,74.2,0.0,0.0,0.0,
10300,27.3,9.9,78.1,0.0,0.0,0.0,
10300,27.3,9.9,78.1,0.0,0.0,0.0,
10400,34.1,17.3,70.3,0.0,0.0,0.0,
